Illusion,Pattern,Angle,FinalLength,Difference200
M,P2,60,186,-14
M,P1,120,182,-18
M,P2,75,200,0
M,P2,60,202,2
M,P1,165,180,-20
M,P1,165,196,-4
M,P2,15,228,28
M,P2,30,242,42
M,P1,150,198,-2
M,P2,60,214,14
M,P1,105,190,-10
M,P2,75,198,-2
M,P1,120,190,-10
M,P2,15,222,22
M,P2,60,226,26
M,P1,135,186,-14
M,P2,60,220,20
M,P1,150,172,-28
M,P1,135,186,-14
M,P2,90,200,0
M,P1,135,174,-26
M,P2,30,226,26
M,P2,45,230,30
M,P1,120,200,0
M,P2,60,212,12
M,P2,30,240,40
M,P1,165,160,-40
M,P1,105,188,-12
M,P1,120,200,0
M,P2,45,230,30
M,P1,105,190,-10
M,P2,60,216,16
M,P1,135,178,-22
M,P1,165,170,-30
M,P1,105,180,-20
M,P2,15,254,54
M,P2,90,206,6
M,P2,45,210,10
M,P1,135,188,-12
M,P2,75,206,6
M,P1,90,180,-20
M,P1,150,172,-28
M,P1,165,158,-42
M,P2,75,202,2
M,P2,45,220,20
M,P1,120,186,-14
M,P2,15,234,34
M,P1,90,194,-6
M,P1,105,184,-16
M,P1,90,182,-18
M,P2,30,238,38
M,P1,165,166,-34
M,P2,45,218,18
M,P2,75,210,10
M,P1,120,182,-18
M,P1,165,164,-36
M,P1,135,200,0
M,P2,90,192,-8
M,P1,90,184,-16
M,P2,75,202,2
M,P1,90,186,-14
M,P2,60,202,2
M,P2,15,204,4
M,P1,90,180,-20
M,P2,30,218,18
M,P2,75,210,10
M,P1,135,182,-18
M,P1,105,184,-16
M,P2,45,204,4
M,P1,105,184,-16
M,P2,15,218,18
M,P2,30,208,8
M,P2,30,222,22
M,P1,150,172,-28
M,P2,60,216,16
M,P2,15,222,22
M,P1,165,160,-40
M,P2,30,206,6
M,P2,45,208,8
M,P2,45,198,-2
M,P2,75,200,0
M,P2,45,206,6
M,P2,75,202,2
M,P1,105,182,-18
M,P2,90,184,-16
M,P1,150,176,-24
M,P1,150,180,-20
M,P1,150,192,-8
M,P1,135,190,-10
M,P2,15,232,32
M,P2,75,194,-6
M,P1,120,180,-20
M,P1,90,182,-18
M,P2,45,216,16
M,P1,120,180,-20
M,P1,150,192,-8
M,P1,90,204,4
M,P1,150,176,-24
M,P1,135,180,-20
M,P2,90,200,0
M,P2,30,220,20
M,P1,105,190,-10
M,P2,90,188,-12
M,P1,120,182,-18
M,P1,120,176,-24
M,P1,165,168,-32
M,P1,135,180,-20
M,P2,15,232,32
M,P2,60,226,26
M,P1,90,200,0
M,P2,90,198,-2
M,P2,90,200,0
M,P2,30,208,8
M,P2,90,180,-20
M,P2,15,222,22
M,P1,165,166,-34
M,P1,150,176,-24
M,P2,90,194,-6
M,P1,105,186,-14
M,P1,90,196,-4
T,T,135,176,-24
T,T,75,180,-20
T,T,105,160,-40
T,T,60,194,-6
T,T,120,188,-12
T,T,45,174,-26
T,T,150,190,-10
T,T,45,178,-22
T,T,45,188,-12
T,T,165,186,-14
T,T,45,180,-20
T,T,75,188,-12
T,T,150,170,-30
T,T,60,190,-10
T,T,0,192,-8
T,T,15,190,-10
T,T,120,190,-10
T,T,165,182,-18
T,T,75,194,-6
T,T,75,174,-26
T,T,90,180,-20
T,T,30,184,-16
T,T,0,184,-16
T,T,90,174,-26
T,T,60,190,-10
T,T,120,182,-18
T,T,90,172,-28
T,T,150,182,-18
T,T,15,198,-2
T,T,15,190,-10
T,T,45,184,-16
T,T,15,188,-12
T,T,165,184,-16
T,T,165,180,-20
T,T,135,176,-24
T,T,45,190,-10
T,T,135,180,-20
T,T,60,198,-2
T,T,165,166,-34
T,T,60,188,-12
T,T,165,178,-22
T,T,45,170,-30
T,T,30,182,-18
T,T,45,174,-26
T,T,45,174,-26
T,T,135,178,-22
T,T,90,192,-8
T,T,135,174,-26
T,T,105,190,-10
T,T,90,184,-16
T,T,0,188,-12
T,T,30,198,-2
T,T,105,162,-38
T,T,90,190,-10
T,T,105,164,-36
T,T,30,196,-4
T,T,135,172,-28
T,T,75,182,-18
T,T,60,198,-2
T,T,150,162,-38
T,T,75,180,-20
T,T,30,190,-10
T,T,150,168,-32
T,T,165,180,-20
T,T,120,182,-18
T,T,0,192,-8
T,T,15,198,-2
T,T,60,176,-24
T,T,90,166,-34
T,T,120,182,-18
T,T,15,186,-14
T,T,0,186,-14
T,T,75,162,-38
T,T,120,176,-24
T,T,105,178,-22
T,T,135,162,-38
T,T,30,192,-8
T,T,165,176,-24
T,T,135,178,-22
T,T,15,188,-12
T,T,150,170,-30
T,T,90,190,-10
T,T,150,168,-32
T,T,30,178,-22
T,T,0,194,-6
T,T,0,196,-4
T,T,60,168,-32
T,T,0,194,-6
T,T,60,166,-34
T,T,120,170,-30
T,T,105,180,-20
T,T,135,168,-32
T,T,120,182,-18
T,T,45,184,-16
T,T,90,186,-14
T,T,30,190,-10
T,T,15,198,-2
T,T,135,190,-10
T,T,15,198,-2
T,T,105,188,-12
T,T,165,184,-16
T,T,0,194,-6
T,T,0,192,-8
T,T,75,172,-28
T,T,75,174,-26
T,T,15,192,-8
T,T,75,190,-10
T,T,105,176,-24
T,T,120,178,-22
T,T,120,174,-26
T,T,60,176,-24
T,T,150,196,-4
T,T,150,182,-18
T,T,105,180,-20
T,T,30,182,-18
T,T,165,180,-20
T,T,90,182,-18
T,T,150,186,-14
T,T,105,192,-8
T,T,30,186,-14
