UnRowID,SRN,cond,type,qu,rating
1,1003729,remain,dom,1,3
2,1003729,remain,dom,2,2
3,1003729,remain,dom,3,2
4,1003729,remain,dom,4,2
5,1003729,remain,dom,5,3
6,1003729,remain,dom,6,1
7,1003729,remain,dom,7,3
8,1003729,remain,dom,8,2
9,1003729,remain,dom,9,2
10,1003729,remain,dom,10,1
11,1003729,remain,dom,11,4
12,1003729,remain,dom,12,2
13,1003729,remain,dom,13,5
14,1003729,remain,dom,14,2
15,1003729,remain,dom,15,4
16,1003729,remain,dom,16,3
17,1003729,remain,auth,1,3
18,1003729,remain,auth,2,2
19,1003729,remain,auth,3,4
20,1003729,remain,auth,4,3
21,1003729,remain,auth,5,4
22,1003729,remain,auth,6,3
23,1003729,remain,auth,7,3
24,1003729,remain,auth,8,4
25,1003729,remain,auth,9,4
26,1003729,remain,auth,10,7
27,1003729,remain,auth,11,4
28,1003729,remain,auth,12,4
29,1003729,remain,auth,13,5
30,1003729,remain,auth,14,5
31,1003729,remain,auth,15,5
32,1003729,remain,auth,16,3
33,1003729,remain,auth,17,3
34,1003729,remain,auth,18,4
35,1003729,remain,auth,19,3
36,1003729,remain,auth,20,4
37,1003729,remain,auth,21,4
38,1003730,remain,dom,1,3
39,1003730,remain,dom,2,3
40,1003730,remain,dom,3,1
41,1003730,remain,dom,4,3
42,1003730,remain,dom,5,3
43,1003730,remain,dom,6,2
44,1003730,remain,dom,7,4
45,1003730,remain,dom,8,3
46,1003730,remain,dom,9,4
47,1003730,remain,dom,10,4
48,1003730,remain,dom,11,4
49,1003730,remain,dom,12,3
50,1003730,remain,dom,13,5
51,1003730,remain,dom,14,2
52,1003730,remain,dom,15,3
53,1003730,remain,dom,16,4
54,1003730,remain,auth,1,4
55,1003730,remain,auth,2,4
56,1003730,remain,auth,3,3
57,1003730,remain,auth,4,3
58,1003730,remain,auth,5,4
59,1003730,remain,auth,6,6
60,1003730,remain,auth,7,4
61,1003730,remain,auth,8,3
62,1003730,remain,auth,9,3
63,1003730,remain,auth,10,2
64,1003730,remain,auth,11,4
65,1003730,remain,auth,12,4
66,1003730,remain,auth,13,3
67,1003730,remain,auth,14,1
68,1003730,remain,auth,15,4
69,1003730,remain,auth,16,6
70,1003730,remain,auth,17,4
71,1003730,remain,auth,18,5
72,1003730,remain,auth,19,5
73,1003730,remain,auth,20,4
74,1003730,remain,auth,21,4
75,1003731,remain,dom,1,1
76,1003731,remain,dom,2,6
77,1003731,remain,dom,3,4
78,1003731,remain,dom,4,4
79,1003731,remain,dom,5,3
80,1003731,remain,dom,6,2
81,1003731,remain,dom,7,5
82,1003731,remain,dom,8,2
83,1003731,remain,dom,9,5
84,1003731,remain,dom,10,4
85,1003731,remain,dom,11,5
86,1003731,remain,dom,12,3
87,1003731,remain,dom,13,3
88,1003731,remain,dom,14,4
89,1003731,remain,dom,15,3
90,1003731,remain,dom,16,2
91,1003731,remain,auth,1,2
92,1003731,remain,auth,2,3
93,1003731,remain,auth,3,2
94,1003731,remain,auth,4,2
95,1003731,remain,auth,5,4
96,1003731,remain,auth,6,7
97,1003731,remain,auth,7,5
98,1003731,remain,auth,8,5
99,1003731,remain,auth,9,3
100,1003731,remain,auth,10,2
101,1003731,remain,auth,11,2
102,1003731,remain,auth,12,4
103,1003731,remain,auth,13,2
104,1003731,remain,auth,14,4
105,1003731,remain,auth,15,3
106,1003731,remain,auth,16,5
107,1003731,remain,auth,17,6
108,1003731,remain,auth,18,2
109,1003731,remain,auth,19,4
110,1003731,remain,auth,20,5
111,1003731,remain,auth,21,6
112,1003732,remain,dom,1,2
113,1003732,remain,dom,2,4
114,1003732,remain,dom,3,7
115,1003732,remain,dom,4,3
116,1003732,remain,dom,5,3
117,1003732,remain,dom,6,3
118,1003732,remain,dom,7,3
119,1003732,remain,dom,8,4
120,1003732,remain,dom,9,3
121,1003732,remain,dom,10,2
122,1003732,remain,dom,11,1
123,1003732,remain,dom,12,4
124,1003732,remain,dom,13,6
125,1003732,remain,dom,14,4
126,1003732,remain,dom,15,1
127,1003732,remain,dom,16,1
128,1003732,remain,auth,1,4
129,1003732,remain,auth,2,4
130,1003732,remain,auth,3,1
131,1003732,remain,auth,4,5
132,1003732,remain,auth,5,4
133,1003732,remain,auth,6,4
134,1003732,remain,auth,7,4
135,1003732,remain,auth,8,4
136,1003732,remain,auth,9,4
137,1003732,remain,auth,10,4
138,1003732,remain,auth,11,3
139,1003732,remain,auth,12,2
140,1003732,remain,auth,13,5
141,1003732,remain,auth,14,3
142,1003732,remain,auth,15,6
143,1003732,remain,auth,16,2
144,1003732,remain,auth,17,4
145,1003732,remain,auth,18,2
146,1003732,remain,auth,19,4
147,1003732,remain,auth,20,5
148,1003732,remain,auth,21,4
149,1003733,remain,dom,1,4
150,1003733,remain,dom,2,2
151,1003733,remain,dom,3,3
152,1003733,remain,dom,4,3
153,1003733,remain,dom,5,2
154,1003733,remain,dom,6,4
155,1003733,remain,dom,7,2
156,1003733,remain,dom,8,3
157,1003733,remain,dom,9,2
158,1003733,remain,dom,10,2
159,1003733,remain,dom,11,1
160,1003733,remain,dom,12,3
161,1003733,remain,dom,13,2
162,1003733,remain,dom,14,1
163,1003733,remain,dom,15,3
164,1003733,remain,dom,16,1
165,1003733,remain,auth,1,5
166,1003733,remain,auth,2,5
167,1003733,remain,auth,3,3
168,1003733,remain,auth,4,3
169,1003733,remain,auth,5,4
170,1003733,remain,auth,6,6
171,1003733,remain,auth,7,5
172,1003733,remain,auth,8,4
173,1003733,remain,auth,9,4
174,1003733,remain,auth,10,5
175,1003733,remain,auth,11,2
176,1003733,remain,auth,12,2
177,1003733,remain,auth,13,4
178,1003733,remain,auth,14,4
179,1003733,remain,auth,15,2
180,1003733,remain,auth,16,5
181,1003733,remain,auth,17,4
182,1003733,remain,auth,18,4
183,1003733,remain,auth,19,4
184,1003733,remain,auth,20,5
185,1003733,remain,auth,21,4
186,1003734,remain,dom,1,3
187,1003734,remain,dom,2,2
188,1003734,remain,dom,3,2
189,1003734,remain,dom,4,3
190,1003734,remain,dom,5,1
191,1003734,remain,dom,6,2
192,1003734,remain,dom,7,2
193,1003734,remain,dom,8,2
194,1003734,remain,dom,9,2
195,1003734,remain,dom,10,3
196,1003734,remain,dom,11,4
197,1003734,remain,dom,12,4
198,1003734,remain,dom,13,3
199,1003734,remain,dom,14,2
200,1003734,remain,dom,15,3
201,1003734,remain,dom,16,1
202,1003734,remain,auth,1,4
203,1003734,remain,auth,2,1
204,1003734,remain,auth,3,3
205,1003734,remain,auth,4,4
206,1003734,remain,auth,5,3
207,1003734,remain,auth,6,4
208,1003734,remain,auth,7,5
209,1003734,remain,auth,8,3
210,1003734,remain,auth,9,5
211,1003734,remain,auth,10,4
212,1003734,remain,auth,11,4
213,1003734,remain,auth,12,1
214,1003734,remain,auth,13,5
215,1003734,remain,auth,14,5
216,1003734,remain,auth,15,5
217,1003734,remain,auth,16,5
218,1003734,remain,auth,17,2
219,1003734,remain,auth,18,2
220,1003734,remain,auth,19,5
221,1003734,remain,auth,20,5
222,1003734,remain,auth,21,5
223,1003735,remain,dom,1,4
224,1003735,remain,dom,2,4
225,1003735,remain,dom,3,2
226,1003735,remain,dom,4,3
227,1003735,remain,dom,5,1
228,1003735,remain,dom,6,6
229,1003735,remain,dom,7,3
230,1003735,remain,dom,8,2
231,1003735,remain,dom,9,3
232,1003735,remain,dom,10,1
233,1003735,remain,dom,11,2
234,1003735,remain,dom,12,3
235,1003735,remain,dom,13,3
236,1003735,remain,dom,14,3
237,1003735,remain,dom,15,2
238,1003735,remain,dom,16,2
239,1003735,remain,auth,1,1
240,1003735,remain,auth,2,3
241,1003735,remain,auth,3,3
242,1003735,remain,auth,4,3
243,1003735,remain,auth,5,4
244,1003735,remain,auth,6,3
245,1003735,remain,auth,7,2
246,1003735,remain,auth,8,5
247,1003735,remain,auth,9,2
248,1003735,remain,auth,10,5
249,1003735,remain,auth,11,5
250,1003735,remain,auth,12,5
251,1003735,remain,auth,13,4
252,1003735,remain,auth,14,3
253,1003735,remain,auth,15,5
254,1003735,remain,auth,16,4
255,1003735,remain,auth,17,2
