SRN,cond,type,qu,rating
1003728,remain,dom,1,3
1003728,remain,dom,2,1
1003728,remain,dom,3,2
1003728,remain,dom,4,1
1003728,remain,dom,5,1
1003728,remain,dom,6,3
1003728,remain,dom,7,5
1003728,remain,dom,8,4
1003728,remain,dom,9,2
1003728,remain,dom,10,4
1003728,remain,dom,11,5
1003728,remain,dom,12,4
1003728,remain,dom,13,3
1003728,remain,dom,14,2
1003728,remain,dom,15,1
1003728,remain,dom,16,1
1003728,remain,auth,1,6
1003728,remain,auth,2,5
1003728,remain,auth,3,1
1003728,remain,auth,4,3
1003728,remain,auth,5,7
1003728,remain,auth,6,3
1003728,remain,auth,7,4
1003728,remain,auth,8,4
1003728,remain,auth,9,4
1003728,remain,auth,10,3
1003728,remain,auth,11,5
1003728,remain,auth,12,4
1003728,remain,auth,13,3
1003728,remain,auth,14,3
1003728,remain,auth,15,3
1003728,remain,auth,16,6
1003728,remain,auth,17,4
1003728,remain,auth,18,2
1003728,remain,auth,19,2
1003728,remain,auth,20,3
1003728,remain,auth,21,3
1003728,remain,auth,22,5
1003728,remain,auth,23,4
1003728,remain,auth,24,5
1003728,remain,auth,25,3
1003728,remain,auth,26,3
1003728,remain,auth,27,2
1003728,remain,auth,28,3
1003728,remain,auth,29,3
1003728,remain,auth,30,3
