subj,age,gender,culture,coded
2,15 years,male,China,activity
4,7 years,female,China,norms
5,15 years,male,China,norms
7,7 years,male,China,helping
10,15 years,female,China,feelings
13,15 years,female,China,feelings
14,12 years,female,China,helping
21,12 years,male,China,activity
23,15 years,male,China,helping
24,12 years,male,China,helping
26,12 years,male,China,helping
27,9 years,male,China,activity
28,7 years,male,China,length
30,15 years,female,China,length
31,9 years,male,China,helping
34,7 years,female,China,activity
38,12 years,female,China,activity
40,12 years,male,China,feelings
41,15 years,male,China,helping
42,12 years,male,China,helping
43,7 years,male,China,feelings
52,15 years,female,China,feelings
55,9 years,female,China,helping
56,9 years,male,China,feelings
57,9 years,male,China,length
59,15 years,female,China,norms
60,7 years,male,China,feelings
61,15 years,female,China,helping
67,12 years,male,China,helping
68,12 years,female,China,norms
81,15 years,female,China,feelings
82,12 years,female,China,helping
89,15 years,male,China,helping
90,15 years,female,China,helping
93,9 years,female,China,activity
97,9 years,male,China,activity
98,9 years,male,China,activity
99,12 years,female,China,norms
102,7 years,male,China,feelings
103,15 years,male,China,length
105,9 years,female,China,helping
106,12 years,male,China,feelings
107,12 years,male,China,helping
109,12 years,male,China,feelings
113,7 years,male,China,activity
116,15 years,female,China,trust
119,12 years,male,China,length
121,9 years,female,China,trust
126,9 years,male,China,activity
129,9 years,male,China,activity
131,12 years,male,China,activity
132,12 years,male,China,norms
135,15 years,NA,China,activity
139,7 years,male,China,activity
142,9 years,male,China,helping
144,9 years,male,China,length
146,15 years,female,China,helping
147,15 years,male,China,norms
150,12 years,female,China,activity
151,15 years,female,China,trust
153,15 years,male,China,feelings
157,9 years,female,China,length
160,7 years,male,China,activity
163,7 years,female,China,activity
165,7 years,male,China,activity
169,9 years,female,China,activity
173,12 years,male,China,activity
176,15 years,male,China,norms
181,12 years,male,China,helping
189,12 years,male,China,length
190,12 years,female,China,feelings
191,7 years,male,China,norms
194,15 years,female,China,helping
195,15 years,NA,China,helping
196,15 years,male,China,norms
198,15 years,male,China,helping
201,7 years,male,China,feelings
205,15 years,female,China,feelings
207,15 years,male,China,feelings
210,9 years,male,China,norms
217,9 years,male,China,length
218,9 years,male,China,activity
226,15 years,male,China,norms
228,12 years,male,China,norms
232,7 years,female,China,activity
237,15 years,female,China,trust
240,9 years,female,China,feelings
241,9 years,female,China,length
243,7 years,female,China,activity
250,12 years,female,China,activity
251,9 years,female,China,activity
253,7 years,male,China,activity
254,7 years,male,China,helping
255,12 years,male,China,norms
257,12 years,female,China,feelings
259,12 years,male,China,length
261,12 years,female,China,norms
263,9 years,female,China,length
265,12 years,male,China,helping
266,9 years,female,China,activity
268,15 years,male,China,helping
269,12 years,female,China,activity
272,15 years,male,China,feelings
273,9 years,male,China,length
274,7 years,male,China,norms
275,7 years,female,China,length
276,15 years,male,China,helping
280,12 years,female,China,length
281,9 years,female,China,helping
286,15 years,male,China,activity
290,9 years,female,China,norms
291,9 years,male,China,feelings
293,9 years,female,China,length
294,15 years,male,China,feelings
297,15 years,female,China,activity
299,15 years,female,China,helping
306,12 years,male,China,helping
308,15 years,female,China,length
309,15 years,female,China,feelings
310,9 years,male,China,activity
311,9 years,male,China,length
313,9 years,female,China,helping
315,15 years,male,China,trust
316,7 years,female,China,helping
320,7 years,male,China,feelings
321,12 years,female,China,feelings
322,12 years,female,China,trust
324,12 years,male,China,helping
328,12 years,female,China,helping
330,7 years,male,China,activity
335,9 years,female,China,length
336,7 years,male,China,activity
337,12 years,female,China,helping
338,12 years,male,China,helping
341,7 years,female,China,length
347,12 years,female,China,length
348,15 years,female,China,norms
350,15 years,female,China,helping
351,15 years,female,China,helping
352,12 years,male,China,helping
354,7 years,male,China,activity
356,7 years,male,China,norms
357,12 years,male,China,feelings
359,12 years,female,China,feelings
360,7 years,female,China,length
366,12 years,male,China,activity
369,12 years,male,China,feelings
371,7 years,male,China,length
372,9 years,female,China,norms
373,15 years,male,China,norms
376,15 years,male,China,activity
377,15 years,male,China,activity
379,12 years,male,China,activity
380,12 years,female,China,helping
382,7 years,female,China,activity
386,15 years,female,China,feelings
389,15 years,female,China,helping
392,12 years,male,China,activity
396,15 years,male,China,helping
397,12 years,male,China,helping
399,15 years,male,China,trust
402,7 years,male,China,activity
406,9 years,female,China,helping
408,15 years,female,China,feelings
411,7 years,female,China,activity
413,9 years,male,China,activity
415,15 years,male,China,feelings
416,12 years,male,China,length
421,9 years,male,China,length
423,7 years,female,China,feelings
425,7 years,male,China,length
430,12 years,female,China,helping
432,15 years,NA,China,feelings
433,12 years,female,China,helping
434,12 years,female,China,norms
438,7 years,male,China,activity
439,12 years,female,China,helping
441,9 years,male,China,helping
442,9 years,male,China,activity
443,12 years,female,China,helping
447,15 years,female,China,helping
450,15 years,male,China,activity
453,12 years,male,China,activity
454,12 years,female,China,norms
459,9 years,female,China,norms
460,12 years,female,China,norms
461,9 years,female,China,norms
463,15 years,male,China,helping
464,12 years,female,China,helping
465,7 years,male,China,norms
475,9 years,female,China,norms
477,15 years,female,China,trust
478,7 years,female,China,length
480,12 years,male,China,helping
481,9 years,female,China,length
483,12 years,male,China,feelings
1,12 years,female,Iceland,activity
3,12 years,male,Iceland,trust
6,15 years,male,Iceland,activity
11,7 years,male,Iceland,activity
12,9 years,female,Iceland,length
15,12 years,male,Iceland,feelings
16,7 years,male,Iceland,activity
18,9 years,female,Iceland,length
22,9 years,female,Iceland,activity
25,12 years,male,Iceland,activity
32,15 years,male,Iceland,feelings
33,7 years,male,Iceland,activity
39,15 years,female,Iceland,trust
44,12 years,female,Iceland,trust
45,12 years,male,Iceland,feelings
46,12 years,male,Iceland,activity
48,12 years,female,Iceland,length
49,7 years,male,Iceland,activity
50,15 years,female,Iceland,feelings
51,9 years,female,Iceland,activity
53,15 years,male,Iceland,length
58,12 years,female,Iceland,feelings
62,9 years,male,Iceland,length
65,15 years,male,Iceland,helping
66,12 years,male,Iceland,length
69,9 years,female,Iceland,length
72,9 years,male,Iceland,length
75,9 years,male,Iceland,activity
78,9 years,male,Iceland,activity
83,12 years,female,Iceland,activity
84,9 years,male,Iceland,length
85,12 years,female,Iceland,length
86,9 years,male,Iceland,activity
87,9 years,male,Iceland,activity
88,12 years,male,Iceland,length
92,15 years,male,Iceland,length
94,9 years,male,Iceland,length
96,7 years,female,Iceland,activity
