SRN,grp,ingroup,outgroup,dominance
1001780,1,3,2,8
1001781,1,4,1,8
1001782,1,3,1,9
1001783,1,4,1,8
1001784,1,3,1,9
1001785,1,4,1,8
1001786,1,4,2,9
1001787,1,4,1,9
1001788,2,5,1,6
1001789,2,5,1,5
1001790,2,5,1,6
1001791,2,5,1,5
1001792,2,5,2,5
1001793,2,6,1,5
1001794,2,6,2,5
1001795,2,4,1,5
1001796,3,5,2,3
1001797,3,6,1,3
1001798,3,5,1,3
1001799,3,5,1,4
1001800,3,4,1,3
1001801,3,5,1,4
1001802,3,5,1,4
1001803,3,5,1,4
1001804,4,6,1,3
1001805,4,6,1,4
1001806,4,5,1,4
1001807,4,6,2,3
1001808,4,6,1,4
1001809,4,6,2,3
1001810,4,5,1,3
1001811,4,6,1,3
1001812,5,5,1,4
1001813,5,6,1,3
1001814,5,6,1,4
1001815,5,5,1,4
1001816,5,6,1,4
1001817,5,5,2,4
1001818,5,5,2,4
1001819,5,5,1,4
1001820,6,6,2,4
1001821,6,4,1,4
1001822,6,6,1,4
1001823,6,6,1,4
1001824,6,5,1,4
1001825,6,6,1,4
1001826,6,6,1,3
1001827,6,6,1,3
1001828,7,5,1,3
1001829,7,6,1,3
1001830,7,6,1,3
1001831,7,6,1,3
1001832,7,6,1,3
1001833,7,6,1,3
1001834,7,7,1,2
1001835,7,6,1,3
1001836,8,6,1,5
1001837,8,6,1,5
1001838,8,6,2,5
1001839,8,6,1,4
1001840,8,6,1,5
1001841,8,7,1,5
1001842,8,7,2,5
1001843,8,7,1,3
1001844,9,7,1,3
1001845,9,7,1,3
1001846,9,7,1,4
1001847,9,6,1,3
1001848,9,7,1,4
1001849,9,6,1,3
1001850,9,7,1,2
1001851,9,7,1,3
1001852,10,7,2,3
1001853,10,7,2,4
1001854,10,7,1,2
1001855,10,7,1,3
1001856,10,7,1,3
1001857,10,6,1,3
1001858,10,7,1,3
1001859,10,7,1,3
1001860,11,7,1,2
1001861,11,7,2,3
1001862,11,7,1,3
1001863,11,7,1,2
1001864,11,7,1,3
1001865,11,8,2,3
1001866,11,6,1,2
1001867,11,8,1,3
1001868,12,6,1,3
1001869,12,7,1,2
1001870,12,8,2,2
1001871,12,7,2,2
1001872,12,8,1,2
1001873,12,6,1,2
1001874,12,7,1,2
1001875,12,7,1,3
1001876,13,8,1,3
1001877,13,8,1,4
1001878,13,7,2,4
1001879,13,8,1,3
1001880,13,8,1,3
1001881,13,7,1,3
1001882,13,7,1,4
1001883,13,7,1,2
1001884,14,7,1,3
1001885,14,8,1,3
1001886,14,7,1,3
1001887,14,7,1,3
1001888,14,8,1,2
1001889,14,7,1,2
1001890,14,7,1,3
1001891,14,7,1,2
1001892,15,8,1,1
1001893,15,8,1,1
1001894,15,8,1,1
1001895,15,7,1,2
1001896,15,8,1,1
1001897,15,8,1,2
1001898,15,9,2,1
1001899,15,8,2,1
1001900,16,7,2,4
1001901,16,8,1,5
1001902,16,8,1,3
1001903,16,9,1,3
1001904,16,8,1,3
1001905,16,8,1,4
1001906,16,8,1,4
1001907,16,8,1,4
1001908,17,8,1,2
1001909,17,8,1,2
1001910,17,8,1,3
1001911,17,8,2,2
1001912,17,8,1,1
1001913,17,7,1,2
1001914,17,8,1,1
1001915,17,9,1,2
1001916,18,8,1,1
1001917,18,9,2,1
1001918,18,8,1,1
1001919,18,8,1,1
1001920,18,8,1,1
1001921,18,8,1,1
1001922,18,9,1,1
1001923,18,8,1,1
1001924,19,8,1,1
1001925,19,8,1,1
1001926,19,8,1,1
1001927,19,8,1,1
1001928,19,8,1,1
1001929,19,8,1,1
1001930,19,8,1,1
1001931,19,8,1,2
1001932,20,9,1,3
1001933,20,9,2,3
1001934,20,8,1,3
1001935,20,8,1,3
1001936,20,9,2,2
1001937,20,8,1,3
1001938,20,8,2,2
1001939,20,9,1,3
1001940,21,8,5,2
1001941,21,8,5,2
1001942,21,9,5,2
1001943,21,8,5,2
1001944,21,9,5,2
1001945,21,8,5,2
1001946,21,9,5,2
1001947,21,9,6,2
1001948,22,9,8,2
1001949,22,9,8,1
1001950,22,10,8,2
1001951,22,9,8,2
1001952,22,10,8,3
1001953,22,9,8,3
1001954,22,9,8,3
1001955,22,10,8,3
1001956,23,9,4,1
1001957,23,9,4,1
1001958,23,10,4,1
1001959,23,10,4,1
1001960,23,8,5,1
1001961,23,10,5,1
1001962,23,9,4,1
1001963,23,10,3,1
1001964,24,10,6,1
1001965,24,9,7,1
1001966,24,10,7,1
1001967,24,10,6,1
1001968,24,10,7,1
1001969,24,10,7,1
1001970,24,9,7,1
1001971,24,10,7,1
1001972,25,10,8,1
1001973,25,10,7,1
1001974,25,10,7,1
1001975,25,10,8,1
1001976,25,10,7,1
1001977,25,10,9,1
1001978,25,10,7,1
1001979,25,10,8,1
