SRNrated,SRNrater,Cond,score
104013,104061,Urban,1
104013,104025,Urban,8
104013,104057,Urban,6
104013,104052,Urban,4
104013,104155,Urban,2
104013,104082,Urban,3
104013,104158,Urban,6
104013,104132,Urban,7
104013,104040,Urban,4
104013,104054,Urban,6
104196,104059,Urban,8
104196,104097,Urban,6
104196,104121,Urban,7
104196,104088,Urban,1
104196,104073,Urban,6
104196,104035,Urban,6
104196,104065,Urban,6
104196,104167,Urban,2
104196,104086,Urban,4
104196,104092,Urban,6
104143,104129,Urban,8
104143,104127,Urban,6
104143,104081,Urban,4
104143,104178,Urban,5
104143,104066,Urban,2
104143,104118,Urban,4
104143,104166,Urban,3
104143,104095,Urban,5
104143,104197,Urban,3
104143,104001,Urban,4
104111,104091,Urban,8
104111,104114,Urban,4
104111,104143,Urban,7
104111,104072,Urban,5
104111,104098,Urban,8
104111,104030,Urban,6
104111,104090,Urban,4
104111,104198,Urban,7
104111,104024,Urban,7
104111,104058,Urban,3
104141,104142,Urban,8
104141,104122,Urban,7
104141,104160,Urban,5
104141,104036,Urban,1
104141,104139,Urban,4
104141,104060,Urban,4
104141,104120,Urban,6
104141,104131,Urban,3
104141,104031,Urban,5
104141,104171,Urban,6
104014,104186,Urban,6
104014,104008,Urban,8
104014,104124,Urban,3
104014,104146,Urban,4
104014,104027,Urban,7
104014,104045,Urban,7
104014,104148,Urban,8
104014,104042,Urban,5
104014,104068,Urban,8
104014,104200,Urban,8
104096,104104,Urban,3
104096,104051,Urban,6
104096,104133,Urban,1
104096,104033,Urban,5
104096,104002,Urban,5
104096,104026,Urban,10
104096,104177,Urban,4
104096,104191,Urban,4
104096,104100,Urban,1
104096,104077,Urban,7
104037,104038,Urban,3
104037,104062,Urban,7
104037,104034,Urban,4
104037,104080,Urban,5
104037,104017,Urban,5
104037,104106,Urban,4
104037,104105,Urban,5
104037,104145,Urban,7
104037,104125,Urban,9
104037,104156,Urban,2
104159,104137,Urban,5
104159,104115,Urban,8
104159,104069,Urban,5
104159,104147,Urban,5
104159,104041,Urban,3
104159,104037,Urban,5
104159,104126,Urban,7
104159,104085,Urban,7
104159,104116,Urban,6
104159,104067,Urban,4
104072,104159,Urban,4
104072,104135,Urban,2
104072,104075,Urban,7
104072,104111,Urban,5
104072,104140,Urban,4
104072,104199,Urban,10
104072,104047,Urban,6
104072,104050,Urban,4
104072,104046,Urban,5
104072,104015,Urban,3
104199,104162,Urban,5
104199,104043,Urban,1
104199,104196,Urban,7
104199,104076,Urban,7
104199,104136,Urban,4
104199,104194,Urban,3
104199,104020,Urban,8
104199,104009,Urban,4
104199,104189,Urban,5
104199,104173,Urban,8
104130,104179,Urban,8
104130,104130,Urban,6
104130,104084,Urban,6
104130,104079,Urban,5
104130,104149,Urban,5
104130,104182,Urban,4
104130,104096,Urban,4
104130,104168,Urban,6
104130,104070,Urban,5
104130,104112,Urban,8
104059,104169,Urban,8
104059,104093,Urban,4
104059,104109,Urban,4
104059,104012,Urban,3
104059,104187,Urban,5
104059,104018,Urban,4
104059,104102,Urban,6
104059,104023,Urban,6
104059,104175,Urban,5
104059,104056,Urban,6
104110,104022,Urban,4
104110,104089,Urban,5
104110,104153,Urban,4
104110,104055,Urban,9
104110,104193,Urban,4
104110,104151,Urban,8
104110,104165,Urban,3
104110,104181,Urban,4
104110,104144,Urban,2
104110,104028,Urban,5
104060,104011,Urban,2
104060,104150,Urban,4
104060,104141,Urban,8
104060,104183,Urban,10
104060,104101,Urban,7
104060,104113,Urban,5
104060,104087,Urban,4
104060,104157,Urban,6
104060,104094,Urban,4
104060,104128,Urban,5
104043,104174,Urban,7
104043,104078,Urban,4
104043,104006,Urban,4
104043,104117,Urban,7
104043,104019,Urban,4
104043,104007,Urban,4
104043,104103,Urban,2
104043,104053,Urban,3
104043,104119,Urban,2
104043,104064,Urban,1
104047,104071,Urban,5
104047,104164,Urban,3
104047,104039,Urban,5
104047,104108,Urban,3
104047,104138,Urban,4
104047,104176,Urban,3
104047,104172,Urban,8
104047,104190,Urban,2
104047,104188,Urban,8
104047,104083,Urban,7
104077,104029,Urban,4
104077,104099,Urban,3
104077,104013,Urban,7
104077,104154,Urban,2
104077,104170,Urban,6
104077,104004,Urban,5
104077,104192,Urban,5
104077,104032,Urban,8
104077,104161,Urban,4
104077,104123,Urban,4
104195,104107,Urban,8
104195,104184,Urban,1
104195,104003,Urban,5
104195,104048,Urban,7
104195,104152,Urban,3
104195,104074,Urban,3
104195,104005,Urban,4
104195,104195,Urban,6
104195,104185,Urban,3
104195,104180,Urban,7
104116,104049,Urban,7
104116,104021,Urban,6
104116,104110,Urban,3
104116,104016,Urban,5
104116,104063,Urban,4
104116,104014,Urban,3
104116,104044,Urban,6
104116,104163,Urban,6
104116,104010,Urban,7
104116,104134,Urban,2
104135,104061,Urban,9
104135,104025,Urban,7
104135,104057,Urban,5
104135,104052,Urban,6
104135,104155,Urban,9
104135,104082,Urban,6
104135,104158,Urban,7
104135,104132,Urban,6
104135,104040,Urban,6
104135,104054,Urban,5
104157,104059,Urban,4
104157,104097,Urban,5
104157,104121,Urban,7
104157,104088,Urban,4
104157,104073,Urban,3
