time,period,motion.r1,motion.r2,loc.r1,loc.r2
1,180,running,sleeping,bottom left,bottom left
2,180,lying,standing,bottom right,bottom right
3,180,lying,pacing,top right,top right
4,180,lying,lying,top right,top right
5,180,lying,lying,top left,top left
6,180,pacing,pacing,top left,top left
7,180,standing,pacing,top left,top left
8,180,standing,standing,top left,top left
9,180,sleeping,standing,bottom left,bottom left
10,180,lying,pacing,bottom left,bottom left
1,10,pacing,pacing,bottom right,top right
2,10,running,running,bottom left,bottom left
3,10,standing,standing,top right,top right
4,10,standing,standing,bottom left,bottom left
5,10,lying,lying,top left,top left
6,10,lying,standing,top left,top left
7,10,running,standing,bottom left,bottom left
8,10,sleeping,sleeping,bottom right,bottom right
9,10,standing,standing,bottom right,bottom right
10,10,sleeping,lying,top right,top right
