trial,cond,error,RT,instruct,seen,resp
1,compat,0,364,L,L,L
2,compat,0,235,R,R,R
3,compat,0,461,R,R,R
4,compat,0,239,L,L,L
5,compat,0,500,R,R,R
6,incompat,1,693,R,L,L
7,compat,1,564,R,R,L
8,compat,0,255,R,R,R
9,compat,0,456,L,L,L
10,incompat,0,468,R,L,R
11,incompat,0,227,L,R,L
12,compat,0,522,R,R,R
13,compat,0,389,L,L,L
14,incompat,0,628,L,R,L
15,compat,0,190,L,L,L
16,compat,0,200,L,L,L
17,compat,0,322,R,R,R
18,compat,0,359,R,R,R
19,incompat,0,231,R,L,R
20,compat,1,608,R,R,L
21,incompat,0,841,R,L,R
22,compat,0,142,L,L,L
23,incompat,0,249,L,R,L
24,compat,0,499,L,L,L
25,incompat,0,315,R,L,R
26,incompat,0,641,R,L,R
27,compat,0,208,L,L,L
28,compat,0,290,R,R,R
29,incompat,0,314,R,L,R
30,incompat,0,737,R,L,R
31,compat,0,180,R,R,R
32,compat,0,769,R,R,R
33,compat,0,419,L,L,L
34,incompat,1,357,L,R,R
35,incompat,0,434,R,L,R
36,compat,0,851,L,L,L
37,compat,0,228,R,R,R
38,incompat,1,255,L,R,R
39,incompat,1,939,R,L,L
40,compat,0,166,R,R,R
41,compat,0,307,R,R,R
42,incompat,0,558,R,L,R
43,incompat,0,285,R,L,R
44,incompat,0,412,L,R,L
45,incompat,0,875,L,R,L
46,compat,0,121,R,R,R
47,incompat,0,634,R,L,R
48,compat,0,364,L,L,L
49,compat,0,964,R,R,R
50,compat,0,332,R,R,R
51,compat,0,310,L,L,L
52,compat,0,296,R,R,R
53,incompat,0,286,L,R,L
54,compat,0,243,L,L,L
55,compat,0,234,R,R,R
56,compat,0,432,R,R,R
57,incompat,0,283,R,L,R
58,compat,1,572,L,L,R
59,compat,0,385,L,L,L
60,incompat,0,230,R,L,R
61,incompat,0,547,L,R,L
62,compat,1,344,R,R,L
63,incompat,0,847,L,R,L
64,compat,1,458,R,R,L
65,incompat,0,393,L,R,L
66,incompat,0,200,L,R,L
67,compat,1,444,L,L,R
68,compat,1,261,L,L,R
69,incompat,1,230,R,L,L
70,compat,0,430,R,R,R
71,compat,0,369,R,R,R
72,incompat,0,426,R,L,R
73,incompat,0,194,R,L,R
74,compat,0,390,L,L,L
75,incompat,0,235,L,R,L
76,incompat,0,342,R,L,R
77,compat,0,386,L,L,L
78,incompat,0,725,R,L,R
79,incompat,0,472,R,L,R
80,compat,0,706,L,L,L
81,compat,0,721,R,R,R
82,compat,0,599,R,R,R
83,compat,0,368,L,L,L
84,incompat,0,334,L,R,L
85,incompat,0,680,R,L,R
86,compat,0,489,L,L,L
87,incompat,0,290,R,L,R
88,incompat,0,186,L,R,L
89,incompat,0,259,L,R,L
90,compat,0,237,R,R,R
91,incompat,0,405,L,R,L
92,incompat,0,457,R,L,R
93,compat,0,509,L,L,L
94,compat,0,541,R,R,R
95,incompat,0,344,R,L,R
96,compat,0,346,R,R,R
