SRN,who,group,qu,rating
1003729,you,social,1,2
1003729,you,recreation,2,2
1003729,you,financial,3,7
1003729,you,health,5,5
1003729,you,ethical,6,7
1003729,you,social,7,4
1003729,you,financial,8,6
1003729,you,ethical,9,7
1003729,you,ethical,10,6
1003729,you,recreation,11,2
1003729,you,financial,12,3
1003729,you,recreation,13,2
1003729,you,financial,14,3
1003729,you,health,17,7
1003729,you,financial,18,5
1003729,you,recreation,19,4
1003729,you,health,20,4
1003729,you,social,21,6
1003729,you,social,22,3
1003729,you,health,23,7
1003729,you,recreation,24,2
1003729,you,recreation,25,6
1003729,you,health,26,5
1003729,you,social,27,6
1003729,you,social,28,2
1003729,you,ethical,30,7
1003729,other,social,1,1
1003729,other,recreation,2,2
1003729,other,financial,3,6
1003729,other,health,5,4
1003729,other,ethical,6,7
1003729,other,social,7,4
1003729,other,financial,8,5
1003729,other,ethical,9,6
1003729,other,ethical,10,6
1003729,other,recreation,11,1
1003729,other,financial,12,4
1003729,other,recreation,13,1
1003729,other,financial,14,3
1003729,other,health,17,5
1003729,other,financial,18,5
1003729,other,recreation,19,4
1003729,other,health,20,4
1003729,other,social,21,6
1003729,other,social,22,1
1003729,other,health,23,4
1003729,other,recreation,24,1
1003729,other,recreation,25,7
1003729,other,health,26,5
1003729,other,social,27,4
1003729,other,social,28,1
1003729,other,ethical,30,6
1003730,you,social,1,1
1003730,you,recreation,2,4
1003730,you,financial,3,5
1003730,you,health,5,4
1003730,you,ethical,6,6
1003730,you,social,7,4
1003730,you,financial,8,7
1003730,you,ethical,9,6
1003730,you,ethical,10,7
1003730,you,recreation,11,4
1003730,you,financial,12,3
1003730,you,recreation,13,2
1003730,you,financial,14,5
1003730,you,health,17,5
1003730,you,financial,18,7
1003730,you,recreation,19,5
1003730,you,health,20,5
1003730,you,social,21,2
1003730,you,social,22,4
1003730,you,health,23,5
1003730,you,recreation,24,5
1003730,you,recreation,25,3
1003730,you,health,26,7
1003730,you,social,27,1
1003730,you,social,28,2
1003730,you,ethical,30,7
1003730,other,social,1,1
1003730,other,recreation,2,3
1003730,other,financial,3,4
1003730,other,health,5,4
1003730,other,ethical,6,5
1003730,other,social,7,4
1003730,other,financial,8,7
1003730,other,ethical,9,4
1003730,other,ethical,10,5
1003730,other,recreation,11,5
1003730,other,financial,12,2
1003730,other,recreation,13,1
1003730,other,financial,14,5
1003730,other,health,17,4
1003730,other,financial,18,7
1003730,other,recreation,19,5
1003730,other,health,20,5
1003730,other,social,21,2
1003730,other,social,22,4
1003730,other,health,23,5
1003730,other,recreation,24,6
1003730,other,recreation,25,2
1003730,other,health,26,6
1003730,other,social,27,1
1003730,other,social,28,2
1003730,other,ethical,30,7
1003731,you,social,1,2
1003731,you,recreation,2,4
1003731,you,financial,3,5
1003731,you,health,5,6
1003731,you,ethical,6,7
1003731,you,social,7,2
1003731,you,financial,8,7
1003731,you,ethical,9,7
1003731,you,ethical,10,5
1003731,you,recreation,11,5
1003731,you,financial,12,7
1003731,you,recreation,13,5
1003731,you,financial,14,4
1003731,you,health,17,6
1003731,you,financial,18,7
1003731,you,recreation,19,5
1003731,you,health,20,6
1003731,you,social,21,2
1003731,you,social,22,2
1003731,you,health,23,5
1003731,you,recreation,24,4
1003731,you,recreation,25,4
1003731,you,health,26,7
1003731,you,social,27,2
1003731,you,social,28,3
1003731,you,ethical,30,6
1003731,other,social,1,1
1003731,other,recreation,2,4
1003731,other,financial,3,3
1003731,other,health,5,6
1003731,other,ethical,6,6
1003731,other,social,7,1
1003731,other,financial,8,7
1003731,other,ethical,9,6
1003731,other,ethical,10,5
1003731,other,recreation,11,4
1003731,other,financial,12,6
1003731,other,recreation,13,5
1003731,other,financial,14,4
1003731,other,health,17,5
1003731,other,financial,18,6
1003731,other,recreation,19,6
1003731,other,health,20,4
1003731,other,social,21,1
