Sub,Cond,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
2515,No Feedback,A, Not Testify ,50,5,5,Yes,10,No,30
2517,No Feedback,A, Not Testify ,50,2,60,No,90,No,60
2518,Feedback,A, Not Testify ,60,2,65,No,50,No,60
2521,No Feedback,A, Not Testify ,0,0,0,No,0,No,2
2526,Feedback,A, Not Testify ,40,0,0,No,100,No,50
2529,No Feedback,A, Not Testify ,25,3,0,No,100,No,90
2535,No Feedback,A, Not Testify ,40,4,55,No,100,No,70
2539,No Feedback,A, Not Testify ,50,3,50,No,75,No,80
2540,Feedback,A, Not Testify ,0,0,0,No,0,No,10
2545,No Feedback,A, Not Testify ,60,3,40,No,90,Yes,50
2553,No Feedback,A, Not Testify ,65,10,50,Yes,35,Yes,20
2559,No Feedback,A, Not Testify ,5,2,2,No,95,No,95
2560,Feedback,A, Not Testify ,20,1,5,No,70,Yes,50
2561,No Feedback,A, Not Testify ,10,2,25,No,75,No,50
2563,No Feedback,A, Not Testify ,2,5,1,No,20,Yes,1
2567,No Feedback,A, Not Testify ,80,15,30,Yes,40,No,30
2571,No Feedback,A, Not Testify ,60,2,80,No,100,No,90
2572,Feedback,A, Not Testify ,20,0,0,No,90,Yes,30
2573,No Feedback,A, Not Testify ,60,4,20,No,90,No,90
2577,No Feedback,A, Not Testify ,60,5,40,No,100,No,50
2579,No Feedback,A, Not Testify ,40,5,30,No,60,No,25
2581,No Feedback,A, Not Testify ,2,3,0,No,50,No,0
2582,Feedback,A, Not Testify ,40,5,50,Yes,30,Yes,30
2583,No Feedback,A, Not Testify ,20,3,10,No,0,Yes,30
2584,Feedback,A, Not Testify ,86,3,60,Yes,50,Yes,70
2586,Feedback,A, Not Testify ,0,2,50,Yes,30,Yes,40
2590,Feedback,A, Not Testify ,30,1,10,No,70,Yes,25
2592,Feedback,A, Not Testify ,50,2,0,No,100,No,50
2593,No Feedback,A, Not Testify ,10,4,30,No,50,No,70
2595,No Feedback,A, Not Testify ,50,2,30,No,100,No,80
2596,Feedback,A, Not Testify ,15,1,10,Yes,20,Yes,20
2600,Feedback,A, Not Testify ,50,1,60,Yes,100,Yes,60
2602,Feedback,A, Not Testify ,10,0,0,No,0,No,0
2608,Feedback,A, Not Testify ,40,2,30,No,80,No,80
2610,Feedback,A, Not Testify ,2,0,0,No,80,No,80
2615,No Feedback,A, Not Testify ,66,2,11,No,75,No,25
2618,Feedback,A, Not Testify ,20,10,40,No,60,No,70
2619,No Feedback,A, Not Testify ,30,7,5,Yes,40,No,60
2621,No Feedback,A, Not Testify ,70,10,50,No,90,No,50
2624,Feedback,A, Not Testify ,20,3,20,No,100,No,30
2627,No Feedback,A, Not Testify ,40,5,30,No,80,No,80
2633,No Feedback,A, Not Testify ,40,20,30,No,60,No,10
2647,No Feedback,A, Not Testify ,45,1,30,No,90,No,70
2652,Feedback,A, Not Testify ,80,4,50,Yes,70,Yes,90
2653,No Feedback,A, Not Testify ,50,2,40,Yes,50,Yes,70
2654,Feedback,A, Not Testify ,0,2,0,Yes,50,Yes,50
2656,Feedback,A, Not Testify ,30,20,80,No,99,Yes,60
2661,No Feedback,A, Not Testify ,55,2,0,No,80,Yes,50
2665,No Feedback,A, Not Testify ,5,5,50,No,50,Yes,50
2668,Feedback,A, Not Testify ,10,9,50,Yes,80,No,20
2678,Feedback,A, Not Testify ,30,2,20,No,40,No,40
2679,No Feedback,A, Not Testify ,40,5,20,No,0,Yes,20
