Illusion,Pattern,Angle,FinalLength,Difference200
M,P1,135,186,-14
M,P1,135,186,-14
M,P2,90,200,0
M,P1,135,174,-26
M,P2,45,230,30
M,P2,45,230,30
M,P1,135,178,-22
M,P2,90,206,6
M,P2,45,210,10
M,P1,135,188,-12
M,P1,90,180,-20
M,P2,45,220,20
M,P1,90,194,-6
M,P1,90,182,-18
M,P2,45,218,18
M,P1,135,200,0
M,P2,90,192,-8
M,P1,90,184,-16
M,P1,90,186,-14
M,P1,90,180,-20
M,P1,135,182,-18
M,P2,45,204,4
M,P2,45,208,8
M,P2,45,198,-2
M,P2,45,206,6
M,P2,90,184,-16
M,P1,135,190,-10
M,P1,90,182,-18
M,P2,45,216,16
M,P1,90,204,4
M,P1,135,180,-20
M,P2,90,200,0
M,P2,90,188,-12
M,P1,135,180,-20
M,P1,90,200,0
M,P2,90,198,-2
M,P2,90,200,0
M,P2,90,180,-20
M,P2,90,194,-6
M,P1,90,196,-4
T,T,45,174,-26
T,T,45,178,-22
T,T,45,188,-12
T,T,45,180,-20
T,T,0,192,-8
T,T,90,180,-20
T,T,0,184,-16
T,T,90,174,-26
T,T,90,172,-28
T,T,45,184,-16
T,T,45,190,-10
T,T,45,170,-30
T,T,45,174,-26
T,T,45,174,-26
T,T,90,192,-8
T,T,90,184,-16
T,T,0,188,-12
T,T,90,190,-10
T,T,0,192,-8
T,T,90,166,-34
T,T,0,186,-14
T,T,90,190,-10
T,T,0,194,-6
T,T,0,196,-4
T,T,0,194,-6
T,T,45,184,-16
T,T,90,186,-14
T,T,0,194,-6
T,T,0,192,-8
T,T,90,182,-18
