time,period,behav.r1,behav.r2,loc.r1,loc.r2
1,180,pacing,pacing,zone_1,zone_1
2,180,lying,lying,zone_1,zone_1
3,180,lying,sleeping,zone_4,zone_4
4,180,lying,lying,zone_2,zone_3
5,180,running,standing,zone_1,zone_1
6,180,sleeping,sleeping,zone_2,zone_2
7,180,standing,sleeping,zone_4,zone_4
8,180,sleeping,sleeping,zone_4,zone_4
9,180,sleeping,sleeping,zone_4,zone_4
10,180,standing,sleeping,zone_1,zone_1
1,10,lying,lying,zone_1,zone_1
2,10,sleeping,sleeping,zone_3,zone_1
3,10,lying,sleeping,zone_2,zone_2
4,10,standing,standing,zone_4,zone_4
5,10,sleeping,lying,zone_1,zone_2
6,10,pacing,pacing,zone_3,zone_3
7,10,sleeping,sleeping,zone_4,zone_1
8,10,sleeping,sleeping,zone_3,zone_3
9,10,lying,lying,zone_2,zone_2
10,10,sleeping,sleeping,zone_3,zone_3
