subj,sex,medit,block,trial,word,pic,congru,acc,rt
1,male,meditate,1,1,boat,apple,incong,1,354
1,male,meditate,1,2,bus,bus,cong,1,419
1,male,meditate,1,3,stapler,cherry,incong,1,346
1,male,meditate,1,4,burger,scissors,incong,0,411
1,male,meditate,1,5,orange,cup,incong,1,319
1,male,meditate,1,6,church,church,cong,1,500
1,male,meditate,1,7,lemon,lemon,cong,1,515
1,male,meditate,1,8,carrot,carrot,cong,1,613
1,male,meditate,1,9,pizza,lemon,incong,1,418
1,male,meditate,1,10,cake,cake,cong,1,437
1,male,meditate,1,11,pizza,pizza,cong,1,534
1,male,meditate,1,12,cup,cup,cong,1,554
1,male,meditate,1,13,apple,apple,cong,1,470
1,male,meditate,1,14,plate,pizza,incong,1,450
1,male,meditate,1,15,church,hat,incong,1,338
1,male,meditate,1,16,stapler,stapler,cong,1,431
1,male,meditate,1,17,hammer,hammer,cong,1,509
1,male,meditate,1,18,star,star,cong,0,465
1,male,meditate,1,19,hat,hat,cong,1,473
1,male,meditate,1,20,boat,boat,cong,1,515
1,male,meditate,1,21,moon,moon,cong,1,454
1,male,meditate,1,22,cup,carrot,incong,1,397
1,male,meditate,1,23,spoon,spoon,cong,1,505
1,male,meditate,1,24,scissors,tree,incong,1,318
1,male,meditate,1,25,shoe,shoe,cong,1,506
1,male,meditate,1,26,moon,drill,incong,1,389
1,male,meditate,1,27,scissors,scissors,cong,1,472
1,male,meditate,1,28,lemon,fork,incong,1,384
1,male,meditate,1,29,cherry,burger,incong,1,425
1,male,meditate,1,30,shoe,bus,incong,1,421
1,male,meditate,2,31,bus,orange,incong,1,291
1,male,meditate,2,32,car,cat,incong,1,279
1,male,meditate,2,33,apple,moon,incong,1,298
1,male,meditate,2,34,horse,horse,cong,1,460
1,male,meditate,2,35,horse,anchor,incong,1,405
1,male,meditate,2,36,fork,dog,incong,1,424
1,male,meditate,2,37,cat,cat,cong,1,486
1,male,meditate,2,38,spoon,boat,incong,0,372
1,male,meditate,2,39,carrot,ball,incong,1,484
1,male,meditate,2,40,ball,plate,incong,1,275
1,male,meditate,2,41,star,stapler,incong,1,450
1,male,meditate,2,42,cake,horse,incong,1,392
1,male,meditate,2,43,cat,cake,incong,1,318
1,male,meditate,2,44,tree,church,incong,1,413
1,male,meditate,2,45,dog,dog,cong,1,399
1,male,meditate,2,46,hat,car,incong,1,318
1,male,meditate,2,47,orange,orange,cong,1,463
1,male,meditate,2,48,burger,burger,cong,1,445
1,male,meditate,2,49,hammer,shoe,incong,1,336
1,male,meditate,2,50,plate,plate,cong,1,532
1,male,meditate,2,51,tree,tree,cong,1,493
1,male,meditate,2,52,car,car,cong,1,517
1,male,meditate,2,53,cherry,cherry,cong,0,490
1,male,meditate,2,54,anchor,anchor,cong,1,471
1,male,meditate,2,55,anchor,hammer,incong,1,364
1,male,meditate,2,56,drill,drill,cong,0,578
1,male,meditate,2,57,dog,spoon,incong,1,322
1,male,meditate,2,58,ball,ball,cong,1,409
1,male,meditate,2,59,fork,fork,cong,1,571
1,male,meditate,2,60,drill,star,incong,1,282
2,male,meditate,1,1,spoon,orange,incong,1,511
2,male,meditate,1,2,shoe,shoe,cong,1,511
2,male,meditate,1,3,horse,carrot,incong,1,503
