subj,sex,medit,block,trial,word,pic,congru,acc,rt
1,male,meditate,1,1,orange,orange,cong,1,439
1,male,meditate,1,2,moon,hat,incong,1,263
1,male,meditate,1,3,apple,scissors,incong,1,292
1,male,meditate,1,4,pizza,bus,incong,1,327
1,male,meditate,1,5,cake,cake,cong,1,459
1,male,meditate,1,6,tree,NA,neutral,1,396
1,male,meditate,1,7,dog,NA,neutral,1,383
1,male,meditate,1,8,ball,cherry,incong,1,281
1,male,meditate,1,9,carrot,anchor,incong,1,252
1,male,meditate,1,10,cat,cat,cong,1,471
1,male,meditate,1,11,tree,horse,incong,1,272
1,male,meditate,1,12,ball,ball,cong,1,496
1,male,meditate,1,13,apple,NA,neutral,1,365
1,male,meditate,1,14,bus,apple,incong,1,309
1,male,meditate,1,15,bus,NA,neutral,1,373
1,male,meditate,1,16,spoon,dog,incong,0,245
1,male,meditate,1,17,bus,bus,cong,0,449
1,male,meditate,1,18,cherry,cherry,cong,1,431
1,male,meditate,1,19,fork,NA,neutral,1,394
1,male,meditate,1,20,burger,church,incong,1,297
1,male,meditate,1,21,lemon,lemon,cong,1,484
1,male,meditate,1,22,cake,burger,incong,1,248
1,male,meditate,1,23,horse,cat,incong,1,273
1,male,meditate,1,24,cup,cup,cong,1,443
1,male,meditate,1,25,plate,stapler,incong,1,339
1,male,meditate,1,26,tree,tree,cong,1,421
1,male,meditate,1,27,moon,moon,cong,1,438
1,male,meditate,1,28,cherry,NA,neutral,1,408
1,male,meditate,1,29,carrot,NA,neutral,1,345
1,male,meditate,1,30,horse,horse,cong,0,467
1,male,meditate,2,31,car,NA,neutral,1,413
1,male,meditate,2,32,hammer,NA,neutral,1,374
1,male,meditate,2,33,drill,NA,neutral,1,550
1,male,meditate,2,34,pizza,NA,neutral,1,373
1,male,meditate,2,35,fork,drill,incong,1,438
1,male,meditate,2,36,scissors,NA,neutral,1,293
1,male,meditate,2,37,car,car,cong,1,383
1,male,meditate,2,38,stapler,stapler,cong,1,481
1,male,meditate,2,39,burger,NA,neutral,1,301
1,male,meditate,2,40,anchor,car,incong,1,215
1,male,meditate,2,41,drill,tree,incong,1,270
1,male,meditate,2,42,lemon,plate,incong,1,281
1,male,meditate,2,43,church,church,cong,1,521
1,male,meditate,2,44,drill,drill,cong,1,429
1,male,meditate,2,45,hammer,hammer,cong,1,480
1,male,meditate,2,46,stapler,boat,incong,1,298
1,male,meditate,2,47,shoe,shoe,cong,1,484
1,male,meditate,2,48,spoon,NA,neutral,1,453
1,male,meditate,2,49,plate,NA,neutral,1,334
1,male,meditate,2,50,apple,apple,cong,1,591
1,male,meditate,2,51,burger,burger,cong,1,380
1,male,meditate,2,52,orange,NA,neutral,0,343
1,male,meditate,2,53,star,NA,neutral,1,340
1,male,meditate,2,54,stapler,NA,neutral,1,423
1,male,meditate,2,55,pizza,pizza,cong,1,429
1,male,meditate,2,56,spoon,spoon,cong,1,399
1,male,meditate,2,57,anchor,NA,neutral,1,427
1,male,meditate,2,58,cherry,ball,incong,1,345
1,male,meditate,2,59,cup,spoon,incong,1,356
1,male,meditate,2,60,car,cake,incong,1,280
1,male,meditate,3,61,moon,NA,neutral,1,331
1,male,meditate,3,62,ball,NA,neutral,1,400
1,male,meditate,3,63,scissors,scissors,cong,1,379
1,male,meditate,3,64,cat,NA,neutral,1,377
1,male,meditate,3,65,plate,plate,cong,1,458
1,male,meditate,3,66,shoe,NA,neutral,1,415
1,male,meditate,3,67,hat,hat,cong,1,457
1,male,meditate,3,68,hammer,fork,incong,1,313
1,male,meditate,3,69,dog,orange,incong,1,233
1,male,meditate,3,70,orange,shoe,incong,1,260
1,male,meditate,3,71,hat,star,incong,0,356
1,male,meditate,3,72,carrot,carrot,cong,0,508
1,male,meditate,3,73,horse,NA,neutral,1,426
1,male,meditate,3,74,boat,boat,cong,1,488
1,male,meditate,3,75,star,star,cong,1,494
1,male,meditate,3,76,church,NA,neutral,1,320
1,male,meditate,3,77,hat,NA,neutral,1,347
1,male,meditate,3,78,shoe,pizza,incong,1,287
1,male,meditate,3,79,dog,dog,cong,1,504
1,male,meditate,3,80,lemon,NA,neutral,1,462
1,male,meditate,3,81,cat,cup,incong,1,338
1,male,meditate,3,82,star,lemon,incong,1,326
1,male,meditate,3,83,boat,carrot,incong,1,272
1,male,meditate,3,84,anchor,anchor,cong,1,449
1,male,meditate,3,85,fork,fork,cong,1,429
1,male,meditate,3,86,cake,NA,neutral,1,339
1,male,meditate,3,87,cup,NA,neutral,1,349
1,male,meditate,3,88,church,moon,incong,1,318
1,male,meditate,3,89,scissors,hammer,incong,1,293
1,male,meditate,3,90,boat,NA,neutral,0,470
2,male,meditate,1,1,cat,NA,neutral,1,499
2,male,meditate,1,2,church,dog,incong,1,421
2,male,meditate,1,3,burger,burger,cong,1,460
2,male,meditate,1,4,moon,NA,neutral,1,508
2,male,meditate,1,5,cake,NA,neutral,1,466
2,male,meditate,1,6,boat,NA,neutral,1,554
2,male,meditate,1,7,dog,NA,neutral,1,500
2,male,meditate,1,8,shoe,shoe,cong,1,495
2,male,meditate,1,9,fork,fork,cong,1,527
2,male,meditate,1,10,horse,horse,cong,1,517
2,male,meditate,1,11,bus,hat,incong,1,435
2,male,meditate,1,12,fork,fork,cong,1,646
2,male,meditate,1,13,horse,NA,neutral,1,487
2,male,meditate,1,14,church,NA,neutral,1,516
2,male,meditate,1,15,plate,plate,cong,1,598
2,male,meditate,1,16,burger,moon,incong,1,372
2,male,meditate,1,17,orange,cherry,incong,1,396
2,male,meditate,1,18,ball,NA,neutral,1,415
2,male,meditate,1,19,apple,apple,cong,1,540
2,male,meditate,1,20,spoon,spoon,cong,1,499
2,male,meditate,1,21,carrot,scissors,incong,1,373
2,male,meditate,1,22,drill,NA,neutral,1,461
2,male,meditate,1,23,anchor,cup,incong,1,436
2,male,meditate,1,24,drill,drill,cong,1,473
2,male,meditate,1,25,shoe,NA,neutral,1,469
2,male,meditate,1,26,stapler,stapler,cong,1,459
2,male,meditate,1,27,cup,cup,cong,1,454
2,male,meditate,1,28,cake,cake,cong,1,605
2,male,meditate,1,29,carrot,carrot,cong,1,543
2,male,meditate,1,30,orange,orange,cong,1,513
2,male,meditate,2,31,ball,horse,incong,1,477
2,male,meditate,2,32,boat,boat,cong,1,446
2,male,meditate,2,33,dog,dog,cong,1,593
2,male,meditate,2,34,pizza,pizza,cong,1,522
2,male,meditate,2,35,ball,ball,cong,1,544
2,male,meditate,2,36,tree,shoe,incong,1,354
2,male,meditate,2,37,dog,orange,incong,1,435
2,male,meditate,2,38,cup,car,incong,1,432
2,male,meditate,2,39,anchor,NA,neutral,1,358
2,male,meditate,2,40,bus,bus,cong,1,508
2,male,meditate,2,41,orange,NA,neutral,1,433
2,male,meditate,2,42,pizza,boat,incong,1,385
2,male,meditate,2,43,fork,NA,neutral,1,578
2,male,meditate,2,44,shoe,lemon,incong,1,433
2,male,meditate,2,45,pizza,NA,neutral,1,397
2,male,meditate,2,46,star,pizza,incong,1,445
2,male,meditate,2,47,apple,drill,incong,1,493
2,male,meditate,2,48,church,church,cong,1,593
2,male,meditate,2,49,spoon,NA,neutral,1,439
2,male,meditate,2,50,car,burger,incong,1,406
2,male,meditate,2,51,cat,cat,cong,1,485
2,male,meditate,2,52,hammer,anchor,incong,1,420
2,male,meditate,2,53,scissors,scissors,cong,1,612
2,male,meditate,2,54,hat,hat,cong,1,475
2,male,meditate,2,55,hammer,hammer,cong,1,560
2,male,meditate,2,56,carrot,NA,neutral,1,460
2,male,meditate,2,57,star,NA,neutral,1,526
2,male,meditate,2,58,cherry,star,incong,1,590
2,male,meditate,2,59,hat,hammer,incong,0,505
2,male,meditate,2,60,horse,plate,incong,1,390
2,male,meditate,3,61,bus,NA,neutral,1,435
2,male,meditate,3,62,lemon,NA,neutral,1,520
2,male,meditate,3,63,plate,stapler,incong,1,498
2,male,meditate,3,64,cherry,NA,neutral,1,538
2,male,meditate,3,65,moon,tree,incong,1,572
2,male,meditate,3,66,stapler,carrot,incong,1,492
2,male,meditate,3,67,burger,NA,neutral,1,499
2,male,meditate,3,68,scissors,NA,neutral,1,428
2,male,meditate,3,69,stapler,NA,neutral,1,709
2,male,meditate,3,70,spoon,cat,incong,1,457
2,male,meditate,3,71,moon,moon,cong,1,715
2,male,meditate,3,72,lemon,spoon,incong,1,474
2,male,meditate,3,73,drill,ball,incong,1,419
2,male,meditate,3,74,tree,tree,cong,1,546
2,male,meditate,3,75,star,star,cong,1,609
2,male,meditate,3,76,cup,NA,neutral,1,399
2,male,meditate,3,77,plate,NA,neutral,1,400
2,male,meditate,3,78,cat,cake,incong,0,367
2,male,meditate,3,79,car,NA,neutral,1,483
2,male,meditate,3,80,apple,NA,neutral,1,487
2,male,meditate,3,81,hammer,NA,neutral,1,521
2,male,meditate,3,82,scissors,bus,incong,1,378
2,male,meditate,3,83,lemon,lemon,cong,1,441
2,male,meditate,3,84,cherry,cherry,cong,1,882
2,male,meditate,3,85,tree,NA,neutral,1,546
2,male,meditate,3,86,hat,NA,neutral,1,514
2,male,meditate,3,87,anchor,anchor,cong,1,532
2,male,meditate,3,88,car,car,cong,1,422
2,male,meditate,3,89,boat,church,incong,1,411
2,male,meditate,3,90,cake,apple,incong,1,461
3,male,meditate,1,1,church,NA,neutral,0,393
3,male,meditate,1,2,spoon,cup,incong,1,463
3,male,meditate,1,3,burger,burger,cong,1,431
3,male,meditate,1,4,lemon,pizza,incong,1,388
3,male,meditate,1,5,cup,NA,neutral,1,499
3,male,meditate,1,6,burger,NA,neutral,1,467
3,male,meditate,1,7,plate,NA,neutral,1,396
3,male,meditate,1,8,boat,NA,neutral,1,489
3,male,meditate,1,9,hammer,NA,neutral,1,465
3,male,meditate,1,10,anchor,anchor,cong,1,443
3,male,meditate,1,11,star,NA,neutral,1,483
3,male,meditate,1,12,fork,NA,neutral,1,448
3,male,meditate,1,13,hat,spoon,incong,1,390
3,male,meditate,1,14,cake,ball,incong,1,440
3,male,meditate,1,15,moon,NA,neutral,1,439
3,male,meditate,1,16,anchor,NA,neutral,1,428
3,male,meditate,1,17,carrot,carrot,cong,1,446
3,male,meditate,1,18,boat,star,incong,1,477
3,male,meditate,1,19,hammer,anchor,incong,1,341
3,male,meditate,1,20,star,orange,incong,1,394
