UnRowID,SRN,cond,type,qu,rating
1,1003729,remain,dom,1,5
2,1003729,remain,dom,2,4
3,1003729,remain,dom,3,5
4,1003729,remain,dom,4,4
5,1003729,remain,dom,5,1
6,1003729,remain,dom,6,2
7,1003729,remain,dom,7,2
8,1003729,remain,dom,8,1
9,1003729,remain,dom,9,1
10,1003729,remain,dom,10,3
11,1003729,remain,dom,11,3
12,1003729,remain,dom,12,2
13,1003729,remain,dom,13,3
14,1003729,remain,dom,14,3
15,1003729,remain,dom,15,3
16,1003729,remain,dom,16,2
17,1003729,remain,auth,1,4
18,1003729,remain,auth,2,5
19,1003729,remain,auth,3,4
20,1003729,remain,auth,4,2
21,1003729,remain,auth,5,4
22,1003729,remain,auth,6,5
23,1003729,remain,auth,7,5
24,1003729,remain,auth,8,4
25,1003729,remain,auth,9,5
26,1003729,remain,auth,10,4
27,1003729,remain,auth,11,4
28,1003729,remain,auth,12,5
29,1003729,remain,auth,13,3
30,1003729,remain,auth,14,4
31,1003729,remain,auth,15,3
32,1003729,remain,auth,16,2
33,1003729,remain,auth,17,4
34,1003729,remain,auth,18,5
35,1003729,remain,auth,19,3
36,1003729,remain,auth,20,1
37,1003729,remain,auth,21,5
38,1003730,remain,dom,1,3
39,1003730,remain,dom,2,3
40,1003730,remain,dom,3,6
41,1003730,remain,dom,4,1
42,1003730,remain,dom,5,2
43,1003730,remain,dom,6,4
44,1003730,remain,dom,7,2
45,1003730,remain,dom,8,1
46,1003730,remain,dom,9,3
47,1003730,remain,dom,10,3
48,1003730,remain,dom,11,2
49,1003730,remain,dom,12,5
50,1003730,remain,dom,13,3
51,1003730,remain,dom,14,1
52,1003730,remain,dom,15,5
53,1003730,remain,dom,16,2
54,1003730,remain,auth,1,4
55,1003730,remain,auth,2,3
56,1003730,remain,auth,3,5
57,1003730,remain,auth,4,5
58,1003730,remain,auth,5,3
59,1003730,remain,auth,6,4
60,1003730,remain,auth,7,2
61,1003730,remain,auth,8,2
62,1003730,remain,auth,9,4
63,1003730,remain,auth,10,5
64,1003730,remain,auth,11,4
65,1003730,remain,auth,12,4
66,1003730,remain,auth,13,4
67,1003730,remain,auth,14,3
68,1003730,remain,auth,15,5
69,1003730,remain,auth,16,4
70,1003730,remain,auth,17,2
71,1003730,remain,auth,18,1
72,1003730,remain,auth,19,7
73,1003730,remain,auth,20,3
74,1003730,remain,auth,21,3
75,1003731,remain,dom,1,2
76,1003731,remain,dom,2,4
77,1003731,remain,dom,3,4
78,1003731,remain,dom,4,3
79,1003731,remain,dom,5,3
80,1003731,remain,dom,6,2
81,1003731,remain,dom,7,1
82,1003731,remain,dom,8,3
83,1003731,remain,dom,9,1
84,1003731,remain,dom,10,2
85,1003731,remain,dom,11,4
86,1003731,remain,dom,12,3
87,1003731,remain,dom,13,1
88,1003731,remain,dom,14,1
89,1003731,remain,dom,15,4
90,1003731,remain,dom,16,6
91,1003731,remain,auth,1,4
92,1003731,remain,auth,2,5
93,1003731,remain,auth,3,4
94,1003731,remain,auth,4,3
95,1003731,remain,auth,5,4
96,1003731,remain,auth,6,4
97,1003731,remain,auth,7,6
98,1003731,remain,auth,8,4
99,1003731,remain,auth,9,5
100,1003731,remain,auth,10,4
101,1003731,remain,auth,11,3
102,1003731,remain,auth,12,4
103,1003731,remain,auth,13,2
104,1003731,remain,auth,14,4
105,1003731,remain,auth,15,5
106,1003731,remain,auth,16,6
107,1003731,remain,auth,17,7
108,1003731,remain,auth,18,5
109,1003731,remain,auth,19,5
110,1003731,remain,auth,20,3
111,1003731,remain,auth,21,4
112,1003732,remain,dom,1,1
113,1003732,remain,dom,2,3
114,1003732,remain,dom,3,1
115,1003732,remain,dom,4,3
116,1003732,remain,dom,5,3
117,1003732,remain,dom,6,2
118,1003732,remain,dom,7,4
119,1003732,remain,dom,8,1
120,1003732,remain,dom,9,4
121,1003732,remain,dom,10,4
122,1003732,remain,dom,11,5
123,1003732,remain,dom,12,2
124,1003732,remain,dom,13,2
125,1003732,remain,dom,14,2
126,1003732,remain,dom,15,3
127,1003732,remain,dom,16,3
128,1003732,remain,auth,1,4
129,1003732,remain,auth,2,4
130,1003732,remain,auth,3,5
131,1003732,remain,auth,4,5
132,1003732,remain,auth,5,3
133,1003732,remain,auth,6,3
134,1003732,remain,auth,7,3
135,1003732,remain,auth,8,3
136,1003732,remain,auth,9,6
137,1003732,remain,auth,10,6
138,1003732,remain,auth,11,5
139,1003732,remain,auth,12,4
140,1003732,remain,auth,13,3
141,1003732,remain,auth,14,4
142,1003732,remain,auth,15,1
143,1003732,remain,auth,16,5
144,1003732,remain,auth,17,4
145,1003732,remain,auth,18,3
146,1003732,remain,auth,19,5
147,1003732,remain,auth,20,4
148,1003732,remain,auth,21,3
149,1003733,remain,dom,1,3
150,1003733,remain,dom,2,4
151,1003733,remain,dom,3,1
152,1003733,remain,dom,4,3
153,1003733,remain,dom,5,4
154,1003733,remain,dom,6,1
155,1003733,remain,dom,7,1
156,1003733,remain,dom,8,1
157,1003733,remain,dom,9,2
158,1003733,remain,dom,10,3
159,1003733,remain,dom,11,2
160,1003733,remain,dom,12,2
161,1003733,remain,dom,13,3
162,1003733,remain,dom,14,4
163,1003733,remain,dom,15,2
164,1003733,remain,dom,16,3
165,1003733,remain,auth,1,6
166,1003733,remain,auth,2,3
167,1003733,remain,auth,3,3
168,1003733,remain,auth,4,2
169,1003733,remain,auth,5,3
170,1003733,remain,auth,6,6
171,1003733,remain,auth,7,2
172,1003733,remain,auth,8,5
173,1003733,remain,auth,9,5
174,1003733,remain,auth,10,6
175,1003733,remain,auth,11,4
176,1003733,remain,auth,12,5
177,1003733,remain,auth,13,3
178,1003733,remain,auth,14,4
179,1003733,remain,auth,15,3
180,1003733,remain,auth,16,2
181,1003733,remain,auth,17,3
182,1003733,remain,auth,18,4
183,1003733,remain,auth,19,1
184,1003733,remain,auth,20,4
185,1003733,remain,auth,21,3
186,1003734,remain,dom,1,3
187,1003734,remain,dom,2,3
188,1003734,remain,dom,3,1
189,1003734,remain,dom,4,4
190,1003734,remain,dom,5,5
191,1003734,remain,dom,6,3
192,1003734,remain,dom,7,2
193,1003734,remain,dom,8,3
194,1003734,remain,dom,9,2
195,1003734,remain,dom,10,3
196,1003734,remain,dom,11,2
197,1003734,remain,dom,12,1
198,1003734,remain,dom,13,4
199,1003734,remain,dom,14,3
200,1003734,remain,dom,15,2
201,1003734,remain,dom,16,4
202,1003734,remain,auth,1,3
203,1003734,remain,auth,2,5
204,1003734,remain,auth,3,5
205,1003734,remain,auth,4,5
206,1003734,remain,auth,5,3
207,1003734,remain,auth,6,2
208,1003734,remain,auth,7,6
209,1003734,remain,auth,8,4
210,1003734,remain,auth,9,2
211,1003734,remain,auth,10,4
212,1003734,remain,auth,11,4
213,1003734,remain,auth,12,4
214,1003734,remain,auth,13,3
215,1003734,remain,auth,14,4
216,1003734,remain,auth,15,5
217,1003734,remain,auth,16,4
218,1003734,remain,auth,17,4
219,1003734,remain,auth,18,4
220,1003734,remain,auth,19,3
221,1003734,remain,auth,20,3
222,1003734,remain,auth,21,4
223,1003735,remain,dom,1,3
224,1003735,remain,dom,2,3
225,1003735,remain,dom,3,4
226,1003735,remain,dom,4,3
227,1003735,remain,dom,5,5
228,1003735,remain,dom,6,3
229,1003735,remain,dom,7,3
230,1003735,remain,dom,8,2
231,1003735,remain,dom,9,4
232,1003735,remain,dom,10,2
233,1003735,remain,dom,11,2
234,1003735,remain,dom,12,2
235,1003735,remain,dom,13,1
236,1003735,remain,dom,14,4
237,1003735,remain,dom,15,2
238,1003735,remain,dom,16,4
239,1003735,remain,auth,1,3
240,1003735,remain,auth,2,5
241,1003735,remain,auth,3,6
242,1003735,remain,auth,4,4
243,1003735,remain,auth,5,4
244,1003735,remain,auth,6,4
245,1003735,remain,auth,7,1
246,1003735,remain,auth,8,2
247,1003735,remain,auth,9,2
248,1003735,remain,auth,10,2
249,1003735,remain,auth,11,3
250,1003735,remain,auth,12,3
251,1003735,remain,auth,13,2
252,1003735,remain,auth,14,5
253,1003735,remain,auth,15,6
254,1003735,remain,auth,16,2
255,1003735,remain,auth,17,3
256,1003735,remain,auth,18,5
257,1003735,remain,auth,19,4
258,1003735,remain,auth,20,3
259,1003735,remain,auth,21,5
260,1003736,remain,dom,1,2
261,1003736,remain,dom,2,1
262,1003736,remain,dom,3,4
263,1003736,remain,dom,4,6
264,1003736,remain,dom,5,3
265,1003736,remain,dom,6,2
266,1003736,remain,dom,7,2
267,1003736,remain,dom,8,3
268,1003736,remain,dom,9,1
269,1003736,remain,dom,10,3
270,1003736,remain,dom,11,4
271,1003736,remain,dom,12,1
272,1003736,remain,dom,13,3
273,1003736,remain,dom,14,1
274,1003736,remain,dom,15,4
275,1003736,remain,dom,16,1
276,1003736,remain,auth,1,3
277,1003736,remain,auth,2,4
278,1003736,remain,auth,3,2
279,1003736,remain,auth,4,5
280,1003736,remain,auth,5,3
281,1003736,remain,auth,6,4
282,1003736,remain,auth,7,6
283,1003736,remain,auth,8,3
284,1003736,remain,auth,9,4
285,1003736,remain,auth,10,4
286,1003736,remain,auth,11,3
287,1003736,remain,auth,12,2
288,1003736,remain,auth,13,3
289,1003736,remain,auth,14,4
290,1003736,remain,auth,15,2
291,1003736,remain,auth,16,6
292,1003736,remain,auth,17,5
293,1003736,remain,auth,18,3
294,1003736,remain,auth,19,2
295,1003736,remain,auth,20,2
296,1003736,remain,auth,21,1
297,1003737,remain,dom,1,3
298,1003737,remain,dom,2,1
299,1003737,remain,dom,3,4
300,1003737,remain,dom,4,3
301,1003737,remain,dom,5,2
302,1003737,remain,dom,6,2
303,1003737,remain,dom,7,1
304,1003737,remain,dom,8,3
305,1003737,remain,dom,9,5
306,1003737,remain,dom,10,4
307,1003737,remain,dom,11,3
308,1003737,remain,dom,12,5
309,1003737,remain,dom,13,4
310,1003737,remain,dom,14,1
311,1003737,remain,dom,15,4
312,1003737,remain,dom,16,1
313,1003737,remain,auth,1,3
314,1003737,remain,auth,2,2
315,1003737,remain,auth,3,6
316,1003737,remain,auth,4,4
317,1003737,remain,auth,5,3
318,1003737,remain,auth,6,4
319,1003737,remain,auth,7,3
320,1003737,remain,auth,8,5
321,1003737,remain,auth,9,4
322,1003737,remain,auth,10,6
323,1003737,remain,auth,11,4
324,1003737,remain,auth,12,3
325,1003737,remain,auth,13,4
326,1003737,remain,auth,14,4
327,1003737,remain,auth,15,5
328,1003737,remain,auth,16,3
329,1003737,remain,auth,17,4
330,1003737,remain,auth,18,4
331,1003737,remain,auth,19,3
332,1003737,remain,auth,20,5
333,1003737,remain,auth,21,2
334,1003738,remain,dom,1,4
335,1003738,remain,dom,2,1
336,1003738,remain,dom,3,2
337,1003738,remain,dom,4,3
338,1003738,remain,dom,5,5
339,1003738,remain,dom,6,1
340,1003738,remain,dom,7,4
341,1003738,remain,dom,8,2
342,1003738,remain,dom,9,1
343,1003738,remain,dom,10,3
344,1003738,remain,dom,11,3
345,1003738,remain,dom,12,1
346,1003738,remain,dom,13,3
