UnRowID,SRN,cond,type,qu,rating
1,1003728,remain,dom,1,4
2,1003728,remain,dom,2,4
3,1003728,remain,dom,3,4
4,1003728,remain,dom,4,4
5,1003728,remain,dom,5,3
6,1003728,remain,dom,6,3
7,1003728,remain,dom,7,4
8,1003728,remain,dom,8,3
9,1003728,remain,dom,9,4
10,1003728,remain,dom,10,1
11,1003728,remain,dom,11,4
12,1003728,remain,dom,12,1
13,1003728,remain,dom,13,2
14,1003728,remain,dom,14,1
15,1003728,remain,dom,15,5
16,1003728,remain,dom,16,5
17,1003728,remain,auth,1,4
18,1003728,remain,auth,2,4
19,1003728,remain,auth,3,4
20,1003728,remain,auth,4,4
21,1003728,remain,auth,5,4
22,1003728,remain,auth,6,4
23,1003728,remain,auth,7,4
24,1003728,remain,auth,8,4
25,1003728,remain,auth,9,3
26,1003728,remain,auth,10,4
27,1003728,remain,auth,11,3
28,1003728,remain,auth,12,4
29,1003728,remain,auth,13,4
30,1003728,remain,auth,14,5
31,1003728,remain,auth,15,5
32,1003728,remain,auth,16,5
33,1003728,remain,auth,17,2
34,1003728,remain,auth,18,2
35,1003728,remain,auth,19,6
36,1003728,remain,auth,20,3
37,1003728,remain,auth,21,5
