subj,Parental_Education(M),Parental_Education(F),Highest_Education,Gender,DOB,Test_Date,Age (M),CDI_U,CDI_S
1,,,,Female,,,,62,38
2,2,2,2,Male,25/06/17,09/01/20,30,60,59
3,3,3,3,Female,19/06/17,13/01/20,30,97,85
4,3,3,3,Male,29/06/17,22/01/20,30,82,45
5,3,3,3,Female,22/07/17,23/01/20,30,66,66
6,N/A,N/A,N/A,Male,02/07/17,28/01/20,30,47,32
7,3,2,3,Male,01/08/17,30/01/20,29,39,27
8,N/A,N/A,N/A,Female,02/07/17,31/01/20,30,35,31
9,2,2,2,Male,31/07/17,03/02/20,30,22,39
10,,,,Male,,,30,34,10
11,3,3,3,Female,07/08/17,07/02/20,30,49,28
12,2,2,2,Female,10/08/17,11/02/20,30,98,85
13,3,1,3,Female,11/08/17,11/02/20,30,50,36
14,3,N/A,3,Female,11/08/17,03/03/20,30,62,56
15,3,1,3,Female,20/08/17,03/03/20,30,81,60
16,3,2,3,Male,31/08/17,03/03/20,30,83,59
17,3,2,3,Female,31/08/17,04/03/20,30,87,88
18,,,,Female,,,,49,19
19,3,2,3,Female,02/09/17,11/03/20,30,63,63
