subj,Cards,Mountain,Motorbike,Penguin,Box,Apple,Iron,Cow,Doll,Hat,Watch,Sofa,Clouds,Hammer,Glasses,Elephant,Backyard,Spoon,Bib,Sink,Wellyboots
1,english,D,C,C,C,C,P,C,C,C,P,D,C,D,C,C,P,C,P,P,C
2,italian,C,C,C,C,C,C,C,C,C,C,C,C,C,NR,C,D,C,C,C,C
3,english,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NR,NR,C,C,C,C
4,italian,C,C,C,C,C,NR,C,NR,C,P,C,C,C,C,C,C,C,C,C,C
5,english,C,C,C,C,C,C,C,C,C,NR,C,C,NR,C,C,C,C,P,C,C
6,italian,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,D,C,C
7,english,C,C,C,C,C,C,C,D,C,NR,C,C,C,C,C,D,C,C,C,C
8,italian,C,C,C,C,C,NR,C,C,C,C,C,C,C,C,C,C,C,P,C,C
9,english,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
10,italian,NR,C,C,NR,C,NR,C,NR,C,C,D,NR,NR,D,NR,NR,NR,C,NR,NR
11,english,C,C,C,C,C,NR,C,C,C,C,C,C,C,C,C,C,C,C,C,C
12,italian,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,C,C
13,english,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,C,C,C,C
14,italian,P,C,C,C,C,NR,C,C,C,C,C,C,C,C,C,C,C,D,C,C
15,english,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
16,italian,D,C,C,P,C,C,C,C,C,C,C,C,C,C,C,C,C,P,C,C
17,english,C,C,C,NR,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
18,italian,NR,P,C,P,C,NR,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,italian,P,C,C,P,C,C,C,C,C,C,C,C,C,C,C,P,C,C,D,C
