subj,Cards,Beach,Lorry,Seal,Bag,Banana,Picture,Hen,Book,Socks,Comb,Table,Roof,Umberella,Fork,Lion,Flags,Glass,Nappy,Radiator,Gloves
1,english,NR,NTS,NT,NR,C*,NR,C,NT,C,NTS,NT,NT,NT,NTS,NTS,NT,NTS,NT,NR,C
2,italian,NT-S,C,NR,C,C,NT,C,NT,C,NTS,C,NTS,C,C,C,C,C,NT,NT,C
3,english,C,NR,C,NT,C,NR,C,C,C,NTS,NR,NTS,C,C,C,C,NTS,C,C,C
4,italian,C,C,NR,C,C,NT,C,NR,C,NTS,C,NTS,C,C,C,NT,NTS,NTS,C*,NT
5,english,C,C,NR,NR,C*,C,C,C,C,C,C,C,C,C,NTS,C,NTS,NT,C,C
6,italian,C,C,NR,NT,C,NT,C,C,C,NR,C,NTS,C,C,C,NR,C,NT,NT,NTS
7,english,C,NTS,NTS,C,C,C,C,NT,C,NTS,C,NTS,C,C,C,NTS,NTS,NT,NT,NTS
8,italian,C,C*,NR,NTS,C*,C,C,C,C,C,C,NTS,C,C*,C,NT,C,NT,NR,C*
9,english,C,C,C,NR,C*,NR,C,C,C,NTS,C,NTS,C*,C,C,C,C,NT,NR,C*
10,italian,NR,NTS,NR,C,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,C,NR,NR,NR,NR,NR
11,english,NTS,C,C,NR,C,NR,C,C,C,NTS,C,NTS,C,C,C,C,NTS,NR,NR,C
12,italian,C,NTS,C,C,C*,NT,C,C,C,NR,C,NTS,C*,C*,C,C,C,NR,NT,C
13,english,C,NR,NR,NR,C*,NT,C,C,C,NTS,C,NTS,C*,C,C,NTS,NTS,C,NR,NTS
14,italian,NT,C,C,C,C*,NT,C,NT,NR,NTS,C,NTS,C*,C,C,NT,NTS,NT,C*,C
15,english,NTS,C,NTS,C,C*,NR,C,C,C,C,C,NTS,C,C,C,C,C,C,C,C
16,italian,C,C,NT,C,C,C,NR,NTS,C,NTS,C,NTS,NR,C,C,C,C,NR,C,C*
17,english,C,C,NT,NT,C,NT,C,C,C,NTS,C,NTS,C,C,C,NT,NTS,C,C,C
18,italian,NR,NT,NR,NR,C*,NR,C,NR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,italian,NT,NT,C,C,C*,C,C,NT,C,NTS,C,NTS,NTS,C,C,NT,NTS,C,NT,C*
