subj,Cards,Big,Swinging,Climbing,Full,Tall,Outside,Waving,Dirty,Running,Drinking,Hugging,Biting,Behind,Walking,Building,Near,Sweeping,Combing,Short,Pulling
1,english,P,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,italian,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,D,C,P
3,english,C,C,C,NR,C,C,C,C,C,C,C,NR,C,C,C,C,C,C,P,C
4,italian,C,C,C,D,C,C,C,P,C,C,C,C,C,C,P,C,C,C,D,P
5,english,C,C,C,C,P,D,C,P,C,C,C,C,C,C,C,D,C,C,C,P
6,italian,C,C,C,D,P,D,C,C,C,C,C,C,C,C,C,P,C,C,D,C
7,english,C,P,C,C,P,P,C,C,C,C,C,C,D,C,C,P,P,C,P,C
8,italian,C,C,C,C,P,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
9,english,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,NR,NR,P,C
10,italian,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,english,C,C,C,D,P,C,C,C,C,C,C,C,C,C,C,P,D,C,P,P
12,italian,C,C,C,C,P,D,C,C,C,C,D,C,C,C,C,C,C,C,P,C
13,english,C,C,C,NR,P,C,C,C,C,C,C,C,C,C,C,C,C,C,D,D
14,italian,C,C,C,D,C,P,C,C,C,C,C,C,C,C,C,D,C,C,C,C
15,english,D,C,C,C,C,C,C,C,C,C,C,C,NR,C,C,C,C,C,D,C
16,italian,C,C,C,C,P,D,C,C,C,C,D,C,D,C,C,D,C,C,D,D
17,english,C,C,C,C,D,P,C,C,C,C,C,C,C,C,C,D,D,P,D,P
18,italian,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,italian,C,C,C,C,P,C,C,C,C,C,C,C,C,C,C,C,P,C,C,C
