subj,Cards,Small,Spinning,Swimming,Empty,Heavy,Inside,Kissing,Clean,Falling,Eating,Washing,Smiling,In-front,Playing,Phoning,Far-apart,Driving,Opening,Long,Pushing
1,english,NT,NT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,italian,NTS,NTS,C,NT,NT,NT,C,NT,NTS,C,C,C,NT,C,C,NT,C,NT,NT,C
3,english,C,C,C,NT,NR,NT,C,C,NR,C,NT,NR,NT,C,NT,NT,C,NR,NT,C
4,italian,NTS,C,NTS,NT,NT,NT,C,NT,C*,C,C,C*,NR,C,C*,NR,C*,C,C,C
5,english,NR,C,C,NT,NT,NR (researcher error),C,NT,C,C,C,NT,NT,C,C,NT,C,NT,C,NR
6,italian,NT,NTS,C,NT,NR,NT,NR,C,C,C,C,NT,NR,NR,NR,NT,C,NR,NR,C
7,english,NTS,NT,C,NTS,NT,NT,C,NT,C,C,C,NT,NT,C,C,NT,NTS,C,NT,C
8,italian,C,NT,C,NT,NT,C,C,C,NTS,C,C,NTS,NT,C,NTS,NR,C,C,NT,C
9,english,NTS,NTS,C,C,NT,NT,NTS,C,NT,C,C,NTS,NT,C,NTS,NR,C,C,NTS,C
10,italian,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,english,NTS,NTS,C,NT,NT,C,C,NT,NR,C,C,C*,NR,NR,NTS,NR,C,NR,NTS,C
12,italian,NTS,NTS,C,NT,NR,NT,C,NT,NTS,C,C,NR,NT,C,NTS,NR,C,NR,NTS,NT
13,english,C,NTS,C,NR,NT,C,C,C,NT,NT,C,NTS,NR,NTS,NR,NR,C,NR,NT,NT
14,italian,C,NT,C,NT,NT,NT,NTS,NT,NT,NTS,NT,NT,NT,C,C,NT,NT,NT,NT,C
15,english,NTS,NR,C,NT,NR,C,C,C,C,C,C,C,NT,NR,NR,NT,C,NR,NT,C
16,italian,NTS,NT,NTS,NR,NR,NR,NR,NT,NR,NR,C,NR,NR,NR,C,NR,C,C,NT,C
17,english,NTS,NT,NR,NT,NT,NR,C,NR,C,C,C,C,NT,NT,C,NR,C,NR,NT,C
18,italian,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,italian,C,NT,C,NT,NT,NT,C,NT,C,C,C,C,NT,C,NTS,NT,C,NT,NT,C
