Subject,Experiment,Sex,Age,StimCond,OutcomeCond,RespCond,Running,Congruency,Load,Stimulus,Outcome,Resp,RT,Acc,Points,Discard,Error
1,OR-priming-faces,female,20,1,1,1,PracticeTraining,NA,NA,S2,O2,R1,1894,0,0,NA,NA
1,OR-priming-faces,female,20,1,1,1,PracticeTraining,NA,NA,S1,O1,R2,1307,0,0,NA,NA
1,OR-priming-faces,female,20,1,1,1,PracticeTraining,NA,NA,S1,O1,R1,1162,1,5,NA,NA
1,OR-priming-faces,female,20,1,1,1,PracticeTraining,NA,NA,S2,O2,R2,1712,1,2,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,2208,1,0,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,1011,1,5,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,552,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,697,1,7,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,477,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,502,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,703,1,7,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,525,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,499,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,664,1,7,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,582,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,459,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,493,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,495,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,656,1,7,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,460,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,455,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,460,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,785,1,7,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,502,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,464,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,428,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,409,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,374,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,468,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,508,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,406,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,1132,1,5,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,353,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,410,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,378,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,492,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,807,1,6,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,418,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,479,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,451,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,462,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,427,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R1,435,0,0,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,447,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,487,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,411,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,391,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,496,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,457,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,561,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,452,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,427,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,499,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,953,1,6,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,448,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,479,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,483,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,488,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,456,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,425,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,535,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,486,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,681,1,7,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,439,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,540,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,486,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,907,1,6,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,512,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,446,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,356,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,1097,1,5,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,325,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,520,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,461,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,483,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,368,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,430,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,425,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R1,393,0,0,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,965,1,6,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,463,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,437,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,906,1,6,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,357,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R2,1485,0,0,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,525,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R2,403,0,0,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,557,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,462,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,527,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,938,1,6,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,419,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,443,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,471,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,627,1,7,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,442,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,783,1,7,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,395,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,449,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,413,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,424,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,386,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,450,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,487,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,729,1,7,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,449,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,422,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,592,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,471,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,555,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,477,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,384,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,389,1,9,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S2,O2,R2,437,1,8,NA,NA
1,OR-priming-faces,female,20,1,1,1,Training,NA,NA,S1,O1,R1,521,1,8,NA,NA
