subj,ParticID,AgeRange,Gender,SubCulture,SongListened,InterestedPre,DistressedPre,ExcitedPre,UpsetPre,StrongPre,GuiltyPre,ScaredPre,HostilePre,EnthusiasticPre,ProudPre,IrritablePre,AlertPre,AshamedPre,InspiredPre,NervousPre,DeterminedPre,AttentivePre,JitteryPre,ActivePre,AfraidPre,InterestedPost,DistressedPost,ExcitedPost,UpsetPost,StrongPost,GuiltyPost,ScaredPost,HostilePost,EnthusiasticPost,ProudPost,IrritablePost,AlertPost,AshamedPost,InspiredPost,NervousPost,DeterminedPost,AttentivePost,JitteryPost,ActivePost,AfraidPost,ERSQ1,ERSQ2,ERSQ3,ERSQ4,ERSQ5,ERSQ6,ERSQ7,ERSQ8,ERSQ9,ERSQ10,ERSQ11,ERSQ12,ERSQ13,ERSQ14,ERSQ15,ERSQ16,ERSQ17,ERSQ18
17,0,22-25,Female,Goth,Monitor,3,2,3,2,3,1,2,1,3,3,1,2,1,3,3,3,3,2,2,2,3,1,4,1,4,1,1,1,4,4,1,2,1,4,2,4,3,2,2,2,1,4,2,1,5,4,4,2,4,4,1,3,5,1,4,5,4,1
18,0,22-25,Male,Metal,Infant annilator ,3,1,3,1,5,1,1,1,2,3,1,3,1,1,1,2,2,1,2,1,2,1,1,1,5,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,2,4
22,0,31,Male,Goth,The Hanging Garden - The Cure,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,1,3,1,2,1,1,1,3,2,1,2,1,3,1,2,2,1,2,1,1,2,3,4,4,4,4,3,3,2,4,2,2,4,4,2,5,4
23,0,31,Male,Metal,Enter Sandman - Metallica,4,2,3,2,2,2,1,1,2,1,2,1,2,2,1,2,3,1,2,1,4,1,3,1,3,1,1,1,3,1,1,1,1,3,1,3,4,1,3,1,2,4,2,3,3,3,3,2,4,4,2,4,4,2,2,4,3,2
24,0,18-21,Female,Metal,Metalhead ,2,4,2,2,1,1,4,4,1,2,3,4,1,1,4,2,1,4,1,2,4,1,3,2,4,1,2,2,3,4,2,3,1,4,2,1,2,3,3,2,5,3,4,5,4,4,3,5,3,4,5,3,5,3,4,5,4,4
25,0,18-21,Female,Emo,My chemical romance ,4,3,1,3,1,5,3,3,3,1,4,3,4,2,2,2,2,4,1,2,3,3,4,3,4,2,3,3,3,4,3,4,2,4,2,4,3,2,3,2,5,2,1,3,4,4,4,4,4,5,5,4,4,4,4,5,3,4
26,0,31,Male,Metal,Falling Away From Me - Korn,4,1,4,1,2,4,2,1,4,1,1,2,2,4,1,2,4,3,1,1,4,1,5,1,2,2,1,2,5,1,1,4,2,5,1,5,4,1,2,1,5,5,5,5,4,4,5,5,4,5,5,4,4,5,5,5,5,5
27,0,31,Male,Goth,Black Planet - Sisters of Mercy,3,1,1,1,2,2,1,1,3,1,2,3,2,2,1,3,3,1,3,1,3,1,3,1,2,1,1,1,2,2,1,2,1,3,1,3,2,1,2,1,4,5,5,5,3,3,2,4,2,3,5,4,4,4,4,2,2,5
30,0,22-25,NB,Emo,Drink Deep - Rites of Spring,2,2,1,3,1,2,2,1,1,1,4,3,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,3,2,2,2,2,1,2,1,1,2,2,3,2,2,4,4,3,3,4,5,4,3,4,2,3,4,4,2
31,0,18-21,NB,Goth,Sweet Dreams - Marilyn Manson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4
