subj,openness,conscientiousness,extraversion,agreeableness,neuroticism
1,29,28,14,36,20
2,22,22,28,28,26
3,33,33,21,37,25
4,17,34,14,39,13
5,27,27,30,40,25
6,27,12,25,34,15
7,20,26,17,37,14
8,20,28,26,33,15
9,19,17,25,24,22
10,17,25,21,32,11
11,29,36,29,40,29
12,24,28,8,27,17
13,16,22,20,31,21
14,36,16,25,35,25
15,24,12,24,38,20
16,39,39,35,39,38
17,30,37,24,36,21
18,18,24,26,35,16
19,19,25,14,34,9
20,26,14,14,37,10
21,15,29,37,39,9
22,32,28,14,27,24
23,28,25,19,34,10
24,33,32,16,33,3
25,17,17,25,32,13
26,27,36,7,29,25
27,18,20,24,37,9
28,17,27,20,32,19
29,30,30,23,34,8
30,30,23,29,30,5
31,18,37,18,26,24
32,17,23,29,34,23
33,23,15,23,28,13
34,30,17,23,37,13
35,14,29,11,30,6
36,24,24,36,37,11
37,22,22,18,29,18
38,29,26,23,38,7
39,22,22,25,34,13
40,27,17,16,28,19
41,17,20,3,28,17
42,21,31,17,40,22
43,8,12,7,30,9
44,32,19,39,36,12
45,19,38,23,40,20
46,22,27,29,38,12
47,12,30,17,23,6
48,15,24,21,35,6
