age,gender,culture,SA,H,T,F
7,male,China,5,7,1,7
7,male,Russia,5,7,1,7
7,male,Iceland,3,6,6,6
7,female,China,5,7,1,7
7,female,Russia,5,7,1,7
7,female,Iceland,3,6,6,6
9,male,China,4,7,1,7
9,male,Russia,4,7,1,7
9,male,Iceland,2,6,6,6
9,female,China,4,7,1,7
9,female,Russia,4,7,1,7
9,female,Iceland,2,6,6,6
12,male,China,3,7,2,7
12,male,Russia,3,7,2,7
12,male,Iceland,1,6,6,6
12,female,China,3,7,2,7
12,female,Russia,3,7,2,7
12,female,Iceland,1,6,6,6
15,male,China,3,8,3,8
15,male,Russia,3,8,3,8
15,male,Iceland,0,7,7,7
15,female,China,3,8,3,8
15,female,Russia,3,8,3,8
15,female,Iceland,0,7,7,7
