"ID","sex","native","blind","hours","job","income","education"
1,"female","native","no",50,"private",77194,"high-school"
2,"male","native",NA,NA,NA,121490,"grade-school"
3,"male","native","no",NA,NA,11714,"high-school"
4,"male","native","no",NA,NA,86433,"high-school"
5,"male","native","no",50,"private",712505,"bachelor"
6,"male","native","no",60,"private",588751,"high-school"
7,"female","native","no",20,"private",27535,"bachelor"
8,"female","native",NA,NA,NA,29948,"grade-school"
9,"female","native","yes",NA,NA,53660,"high-school"
10,"female","native","no",36,"private",8154,"high-school"
11,"female","native",NA,NA,NA,78579,"bachelor"
12,"female","native","no",60,"private",447768,"master"
13,"male","native","no",20,"private",120091,"bachelor"
14,"female","native","no",NA,NA,34323,"high-school"
15,"male","native","no",NA,NA,113365,"high-school"
16,"female","native","no",NA,NA,3859,"high-school"
17,"female","native","no",32,"private",348543,"bachelor"
18,"female","native","no",50,"private",41493,"high-school"
19,"male","native","no",50,"public",63909,"master"
20,"male","native","no",40,"charity",109104,"high-school"
21,"male","native","no",40,"private",67422,"high-school"
22,"male","native","no",40,"private",125548,"high-school"
23,"male","native","no",NA,NA,55771,"high-school"
24,"male","native","no",40,"private",79887,"high-school"
25,"male","native",NA,NA,NA,19613,"grade-school"
26,"female","native","no",NA,NA,14802,"high-school"
27,"female","native","no",40,"private",287080,"bachelor"
28,"female","native","no",20,"private",369217,"grade-school"
29,"female","native","no",NA,NA,59581,"bachelor"
30,"female","native","no",NA,NA,69926,"high-school"
31,"female","native","no",NA,NA,115961,"master"
32,"male","native",NA,NA,NA,29084,"high-school"
33,"female","native","no",42,"private",22289,"high-school"
34,"female","foreign","no",NA,NA,110051,"bachelor"
35,"male","native","no",50,"private",100820,"master"
36,"male","native","no",40,"private",42040,"master"
37,"female","native","no",40,"private",15332,"high-school"
38,"female","native","no",40,"private",40302,"high-school"
39,"female","native","no",NA,NA,8095,"high-school"
40,"female","native","no",NA,NA,57307,"high-school"
41,"male","foreign","no",NA,"private",24100,"high-school"
42,"female","native","no",40,"private",8260,"high-school"
43,"male","native","no",NA,NA,40831,"grade-school"
44,"male","native","no",40,"charity",152995,"bachelor"
45,"male","native","no",40,"private",98821,"high-school"
46,"male","native","no",NA,"private",13782,"high-school"
47,"female","native",NA,NA,NA,6614,"grade-school"
48,"female","native","no",40,"private",48209,"high-school"
49,"female","native","no",NA,NA,46825,"master"
50,"male","native","no",40,"private",107830,"bachelor"
51,"female","native",NA,NA,NA,45503,"grade-school"
52,"male","native","no",NA,NA,61432,"high-school"
53,"female","native","no",40,"private",19855,"high-school"
54,"male","native",NA,NA,NA,38967,"grade-school"
55,"female","native","no",40,"private",92393,"high-school"
56,"female","native","no",NA,NA,16501,"high-school"
57,"male","native","no",NA,NA,27175,"grade-school"
58,"male","native","no",16,"public",102389,"high-school"
59,"female","foreign","no",NA,NA,7494,"high-school"
60,"male","foreign","no",40,"private",23570,"high-school"
61,"male","native","no",NA,NA,15538,"grade-school"
62,"female","native",NA,NA,NA,61715,"grade-school"
63,"male","native","no",NA,NA,64541,"grade-school"
64,"female","native",NA,NA,NA,89603,"high-school"
65,"male","foreign","no",36,"private",53840,"bachelor"
66,"female","foreign","no",NA,NA,8506,"master"
67,"female","native","no",NA,NA,246050,"high-school"
68,"female","native","no",40,"private",26643,"high-school"
69,"male","native","no",31,"public",27384,"high-school"
70,"female","native","no",40,"private",61806,"high-school"
71,"female","native","no",20,"private",50676,"high-school"
72,"female","native",NA,NA,NA,62236,"grade-school"
73,"female","native","no",NA,"private",50697,"high-school"
74,"female","native","no",48,"private",54110,"high-school"
75,"female","native","no",40,"private",50381,"high-school"
76,"female","native","no",NA,NA,91269,"grade-school"
77,"male","native","no",NA,NA,76304,"high-school"
78,"male","native",NA,NA,NA,51447,"grade-school"
79,"female","native","no",NA,"public",70477,"grade-school"
80,"female","native","no",NA,NA,13094,"high-school"
81,"female","foreign","no",NA,NA,47838,"grade-school"
82,"female","native","no",NA,NA,0,"high-school"
83,"male","native","no",NA,NA,19221,"bachelor"
84,"female","native","no",48,"private",83499,"high-school"
85,"female","native","no",NA,NA,18464,"grade-school"
86,"female","native",NA,NA,NA,11428,"grade-school"
87,"male","foreign","no",40,"private",72957,"grade-school"
88,"female","native","no",50,"private",76118,"bachelor"
89,"male","native","no",NA,NA,16406,"high-school"
90,"female","foreign","no",NA,"private",40514,"high-school"
91,"male","native",NA,NA,NA,33802,"high-school"
92,"male","native","no",40,"public",75280,"high-school"
93,"female","native","yes",NA,NA,29658,"high-school"
94,"female","native","no",40,"private",129060,"high-school"
95,"male","native",NA,NA,NA,17183,"grade-school"
96,"male","native",NA,NA,NA,103840,"grade-school"
97,"male","native","no",40,"private",97664,"high-school"
98,"male","native","no",16,"private",58165,"high-school"
99,"female","foreign","no",40,"private",52883,"high-school"
100,"male","native","no",NA,"private",130153,"bachelor"
101,"female","native","no",40,"public",64941,"high-school"
102,"female","foreign","no",NA,NA,0,"bachelor"
103,"female","native","no",38,"private",60611,"high-school"
104,"male","native",NA,NA,NA,6550,"grade-school"
105,"female","native","no",35,"private",72213,"high-school"
106,"male","native","no",NA,NA,127750,"master"
107,"male","native",NA,NA,NA,55318,"grade-school"
108,"male","foreign","no",40,"private",26180,"grade-school"
109,"female","foreign","no",NA,NA,67895,"high-school"
110,"male","native","no",NA,"private",19988,"high-school"
111,"male","native","no",NA,NA,680379,"grade-school"
112,"male","native","no",60,"charity",10534,"high-school"
113,"male","native",NA,NA,NA,10793,"grade-school"
114,"male","native","no",NA,NA,21239,"high-school"
115,"male","native","no",NA,NA,59161,"high-school"
116,"female","native","no",NA,NA,6868,"grade-school"
117,"female","native","no",NA,NA,35620,"high-school"
118,"female","native","no",40,"private",585744,"bachelor"
119,"female","native","no",40,"charity",134407,"master"
120,"female","native",NA,NA,NA,52909,"grade-school"
121,"male","native","no",24,"private",87336,"high-school"
122,"female","native","no",50,"private",112920,"bachelor"
123,"male","native","no",30,"private",29623,"high-school"
124,"female","native",NA,NA,NA,134252,"grade-school"
125,"female","native","no",NA,NA,65624,"high-school"
126,"male","native","no",NA,NA,31432,"grade-school"
127,"female","native","no",NA,NA,21262,"bachelor"
128,"male","native","no",40,"private",66411,"high-school"
129,"male","foreign","no",NA,NA,14970,"grade-school"
130,"male","native","no",40,"private",71957,"high-school"
131,"female","native","no",40,"private",46578,"high-school"
132,"male","native","no",NA,NA,10748,"grade-school"
133,"male","native",NA,NA,NA,116342,"grade-school"
134,"female","native","no",40,"public",83286,"high-school"
135,"male","native",NA,NA,NA,129762,"grade-school"
136,"male","foreign","no",NA,NA,68168,"grade-school"
137,"male","native","no",40,"private",61435,"high-school"
138,"female","native","no",29,"public",53811,"high-school"
139,"female","native","no",40,"public",26295,"bachelor"
140,"female","native","no",40,"public",113455,"bachelor"
141,"female","foreign","no",NA,"private",26441,"high-school"
142,"female","native","no",NA,NA,15806,"high-school"
143,"male","native","no",40,"private",148079,"high-school"
144,"male","native","no",NA,NA,103154,"grade-school"
145,"male","native",NA,NA,NA,1764,"grade-school"
146,"male","native","no",NA,"private",3204,"high-school"
147,"female","native","no",40,"private",104204,"high-school"
148,"female","native","no",NA,NA,135709,"high-school"
149,"male","native","no",NA,NA,32890,"grade-school"
150,"male","native","no",60,"private",139532,"master"
151,"female","native","no",40,"charity",41543,"high-school"
152,"female","native","no",NA,NA,83453,"high-school"
153,"female","native","no",40,"public",37443,"bachelor"
154,"female","native","no",NA,NA,12408,"high-school"
155,"female","native","no",45,"private",56038,"high-school"
156,"female","native","no",NA,NA,4701,"grade-school"
157,"male","native","no",40,"private",47864,"bachelor"
158,"female","native","no",40,"private",194393,"bachelor"
159,"male","native","no",NA,NA,65615,"high-school"
160,"male","native","no",NA,NA,126638,"grade-school"
161,"female","native","no",40,"private",15222,"high-school"
162,"male","native","no",40,"private",48160,"high-school"
163,"female","native","no",NA,NA,34968,"grade-school"
164,"female","native","no",NA,NA,50312,"high-school"
165,"female","native","no",40,"public",73382,"master"
166,"female","native","no",40,"private",145775,"bachelor"
167,"female","native","no",NA,NA,11923,"high-school"
168,"male","native","no",50,"private",79264,"bachelor"
169,"male","foreign","no",NA,NA,8204,"grade-school"
170,"male","native",NA,NA,NA,274917,"grade-school"
171,"female","native","no",NA,"private",19168,"high-school"
172,"female","native","no",20,"private",56596,"high-school"
173,"female","native","no",NA,NA,36018,"high-school"
174,"male","native","no",40,"private",87335,"high-school"
175,"male","native",NA,NA,NA,68552,"grade-school"
176,"female","native","no",NA,NA,38245,"high-school"
177,"female","native","no",40,"private",37950,"high-school"
178,"female","foreign","no",20,"charity",109712,"bachelor"
179,"male","native","no",NA,NA,32986,"high-school"
180,"female","native","no",NA,NA,10139,"master"
181,"female","native","no",15,"private",44296,"high-school"
182,"male","native","no",NA,NA,38557,"high-school"
183,"male","native","no",65,"private",108349,"high-school"
184,"female","native","no",24,"private",112931,"high-school"
185,"male","native",NA,NA,NA,8449,"grade-school"
186,"male","native","no",40,"private",123149,"high-school"
187,"female","native","no",40,"private",45616,"high-school"
188,"female","native","no",60,"private",146698,"master"
189,"female","native","no",NA,NA,193264,"grade-school"
190,"male","native","no",45,"private",253611,"bachelor"
191,"male","native","no",50,"private",105930,"high-school"
192,"female","native",NA,NA,NA,29467,"grade-school"
193,"male","native","no",40,"private",116267,"master"
194,"female","native","no",NA,NA,76844,"bachelor"
195,"female","native","no",40,"charity",73774,"master"
196,"male","native",NA,NA,NA,120162,"grade-school"
197,"male","native","no",40,"private",31249,"high-school"
198,"male","native","no",NA,"charity",98726,"high-school"
199,"male","native","no",40,"private",75647,"high-school"
200,"female","native","no",40,"private",18661,"high-school"
201,"female","native","no",40,"public",43639,"high-school"
202,"female","native","no",NA,NA,67457,"master"
203,"female","native","no",NA,NA,86579,"high-school"
