Var1,Var2,Var3,Var4
1,4,1,4.25
2,3.8,2,3.75
1,4,3,4.75
1,5,4,4.75
3,3.6,1,3
1,4.2,2,3.75
1,3.4,3.33,3.5
1,4,2,3.75
1,4,3,3.75
1,4,3,4.75
1,3,2,4.25
1,3.4,4,4
1,3.4,2,2.5
4,4.4,4,4.75
3,4.6,1,3.75
1,2.6,1,5
3,4.4,2,4.5
2,3.6,1,5
3,3.4,4,4.75
2,3.4,1,4
5,4,2,4.5
5,3.6,3.33,4.5
5,3,2,4.75
5,3.8,2,3.25
5,4,3,4
5,3.6,3,3.25
5,3.8,3.33,3.5
5,3.2,1,4.75
5,3.2,2,4
3,2.8,2.33,2
3,4.4,5,4
3,4.4,2,4.25
3,4.4,1,2
3,4.4,3.67,3.75
3,3.6,2.33,4.25
3,3.6,1,2.75
3,3.8,3.67,4.5
6,4,3,4
6,4,4,4.25
6,3.2,1.33,4.25
7,4.8,4.67,4.25
7,4.8,4,4.75
6,3.8,2.33,3.75
7,4.2,2,4
7,3.2,3.33,4
8,2.8,3,1.75
8,3.6,2,2
9,3.2,4,3
10,3.2,1.33,3.75
11,3.6,4,4
9,4.4,2,3.25
9,4,4.33,3.5
11,4.2,2,3.25
11,3.6,3,2
11,3.4,1.67,3.75
11,3.6,3.33,3
9,3.2,4.33,4.75
9,4.4,2,3.75
8,4,4.67,5
12,3.6,2,4
13,3.8,1,2.75
14,3.6,1,4
4,4.4,3,4
12,3.8,4.33,5
12,3.6,2,3.75
13,3.4,3.33,4.75
12,3.8,3.33,3
12,4.4,2.67,3.25
14,3.6,2.67,3.75
4,4,4,4
12,3.6,1,4
12,4.8,3.33,3
4,3.2,2.33,3.75
12,3.4,1,2.75
4,3.4,1,4.25
4,4.8,3,4
13,4,4,2.5
13,5,1.67,1.5
14,3,3.67,3
15,3.6,3,3.75
15,4.2,3.33,4
15,4.6,5,5
15,3.6,1,2.75
15,2.6,4,4.75
15,4.6,1,3.5
15,3.2,3.67,3.5
15,4.6,4.67,4.25
15,4.2,2.67,3
15,3.2,3.33,3
15,4.8,1,4.75
15,3.2,1,3.25
15,4.2,3.67,4.5
15,3.4,2.33,4
15,3,3,3
15,3.2,2,2.75
13,5,5,4.5
14,4.6,2.33,5
14,4,3,4
4,,,
16,3.6,4,3.25
16,4.2,1,4
16,4.2,3,3.75
16,3.8,4,4.75
16,4,1.67,3.5
16,3.8,3,4
16,3.6,1.33,3.25
16,5,1,3.5
16,2.4,1.67,
17,5,4,4.75
18,4.8,3,2
19,4,3,2
17,4,4,3.75
20,3.8,2.33,3.75
21,5,4.33,2.75
21,5,4.67,3.75
21,4.6,4.67,3
22,,,
8,3.8,3.67,3.75
8,4,3.67,4
23,3.6,1,3.25
23,3,3,3.5
4,4,3,4
12,3.8,2,3.75
23,3.8,4,3.25
1,4.2,1,4.25
24,5,5,4.75
17,5,5,5
25,3.6,3.33,3.75
25,4.2,1,4
25,3,4,3.75
25,4.6,1,5
25,4.8,3,4.75
25,4,2,4.25
8,4.6,3,5
19,,,
17,5,5,5
24,3.2,3.67,3.25
26,1,1,1
26,4.2,4,3
26,,,
19,4.2,4,2.75
19,5,4.67,3
27,4,2.67,3.75
28,4.8,2,4.25
28,2.8,1.67,2.25
28,4.6,4.67,3.25
29,4.8,4.33,4.25
29,1.8,1,4
28,4,1.67,3.75
23,3.8,4,4
30,3.8,1,4.5
28,5,3,3.5
28,3.8,3,4.25
28,3.2,1.67,4.25
28,4,3.33,3.5
30,4.6,3,5
28,3.4,2.67,
28,3,3,3
31,3.8,3,2.25
31,,4.33,1.75
31,3.2,4.33,3
32,3.8,2,3.25
33,4.6,5,4
33,2.4,1.33,2
33,4,4.67,4.25
33,4.6,4,3.5
33,3.8,3,4
33,4.8,4.67,4.75
33,3.6,3.33,3.75
33,4.6,2,4.25
32,3,2.67,3.5
32,2.4,4,5
34,,,
35,3.2,1,2.75
34,4.2,1,1.25
36,3.6,2.33,3.5
34,5,5,5
37,1.4,1.67,1.75
36,3.8,1.33,4
36,3.8,4.33,2.75
34,3.8,1.33,2.75
38,4.4,4.67,5
38,3.6,1.33,1.5
38,2.8,4,3
38,4.2,3.33,2
34,3.8,1,4.25
37,2.6,1,1
38,3.2,3,3.75
38,3.8,2,3.5
38,3.8,2.67,3.25
39,5,3,4
39,3.8,1,2.75
34,4.2,4,4
37,2.2,2,1.25
37,3.4,1.67,3.5
37,4.2,2.33,4.75
39,4.4,3,3.25
37,2.2,2,2.25
37,4.2,4.67,4.25
37,3.8,4,3
39,,4,4
40,4,2.67,2.25
40,4.4,1.67,3.75
40,3.6,1.67,3.75
40,4,4,3
40,5,2,2.75
40,5,3.67,1
40,4.8,2.33,3.75
40,3.6,1.67,2.25
40,3.6,1,4
40,2.6,3.33,3.5
40,3.8,3.33,4.25
40,5,5,5
40,3.6,1.67,4
40,3,1,2.25
40,5,4,4.25
17,4.6,4.33,3.5
19,5,5,3.75
19,3.8,3.67,2.25
19,4,4,2.5
41,3,1,3
23,5,1,5
42,4,4.33,4.25
23,3,3,1.75
38,,,
38,4.6,4,4.5
23,3.2,3.67,3.75
29,3,3.67,2
32,5,5,4.75
32,3.6,3.33,3
32,3.4,2,2.75
31,3.6,4,5
31,5,3,2.25
31,4,2.33,4
31,4,4.33,4.75
31,2.2,2.33,1.75
31,5,5,2.5
31,4,4,3.5
31,4.2,4,2.75
31,3.8,3.33,2.25
31,3.8,3.33,3
31,3.8,3.67,4
31,3.8,1.67,3.5
31,2.6,1,3
31,4.6,4.67,3.25
31,3.8,4.67,3.25
31,2.8,3.67,2.75
31,4.2,4.33,2.75
31,4.2,4,3
31,3.8,3.67,2.25
31,,3.67,2.5
31,3.2,3.33,4.5
31,2.2,2.33,1.75
32,3.6,3,2.75
33,4.6,4.67,2.75
31,3.8,2,3.25
22,3.8,2,3.25
10,3.8,2,3
10,4,2,3.75
10,3.8,4,3
10,3,2.67,4.25
43,4.2,1,4
43,3,3,3.5
43,5,5,5
43,3,3,4
44,4.6,3.67,3.5
43,3.6,1,5
43,1.8,1,3
43,3.8,2.33,3.75
43,3.2,2,1.75
43,1.4,1.67,1
43,3.6,1,3.75
43,4.8,4.67,2.75
43,3,2.67,3.5
43,4,4.33,
43,2.6,2.33,2.5
43,4.6,4.67,3.5
10,2.4,2.33,2
10,3.2,1.67,
10,4,2,3.5
10,4,2.67,4.25
45,4.2,3,3.5
45,5,3,4.75
45,3.6,1.67,3.25
45,3,1,3
45,3.4,2.33,3.5
45,5,1,4.5
45,4.6,4,3.5
45,3,2,1
45,4.2,4.33,4
10,3,1,2.5
45,3.8,4.67,4
45,4.8,5,3.5
45,3.8,2,2.25
45,5,5,4
