subj,subculture,ers,score
17,Goth,avoidance,1.2857142857142858
17,Goth,approach,4.166666666666667
17,Goth,development,4.2
17,Goth,total,3.0555555555555554
18,Metal,avoidance,4
18,Metal,approach,3.5
18,Metal,development,3.4
18,Metal,total,3.6666666666666665
22,Goth,avoidance,3.2857142857142856
22,Goth,approach,2.1666666666666665
22,Goth,development,4.2
22,Goth,total,3.1666666666666665
23,Metal,avoidance,2.142857142857143
23,Metal,approach,4
23,Metal,development,2.8
23,Metal,total,2.944444444444444
25,Emo,avoidance,3.7142857142857144
25,Emo,approach,4
25,Emo,development,3.8
25,Emo,total,3.833333333333333
26,Metal,avoidance,5
26,Metal,approach,4.5
26,Metal,development,4.6
26,Metal,total,4.722222222222222
27,Goth,avoidance,4.571428571428571
27,Goth,approach,3.3333333333333335
27,Goth,development,2.8
27,Goth,total,3.6666666666666665
30,Emo,avoidance,2.4285714285714284
30,Emo,approach,3.8333333333333335
30,Emo,development,3.6
30,Emo,total,3.222222222222222
31,Goth,avoidance,4
31,Goth,approach,3.6666666666666665
31,Goth,development,3.6
31,Goth,total,3.7777777777777777
32,Goth,avoidance,2.5714285714285716
32,Goth,approach,1.3333333333333333
32,Goth,development,2.2
32,Goth,total,2.0555555555555554
33,Mainstream,avoidance,4.857142857142857
33,Mainstream,approach,4.333333333333333
33,Mainstream,development,4.8
33,Mainstream,total,4.666666666666667
34,Goth,avoidance,3.857142857142857
34,Goth,approach,3.6666666666666665
34,Goth,development,4
34,Goth,total,3.833333333333333
40,Goth,avoidance,4
40,Goth,approach,3.6666666666666665
40,Goth,development,2.6
40,Goth,total,3.5
42,Emo,avoidance,4.571428571428571
42,Emo,approach,4.333333333333333
42,Emo,development,4.2
42,Emo,total,4.388888888888889
43,Goth,avoidance,4.285714285714286
43,Goth,approach,3.3333333333333335
43,Goth,development,4.2
43,Goth,total,3.944444444444444
44,Metal,avoidance,3.4285714285714284
44,Metal,approach,3.5
44,Metal,development,3.4
44,Metal,total,3.444444444444444
45,Goth,avoidance,3.7142857142857144
45,Goth,approach,3.5
45,Goth,development,4
45,Goth,total,3.7222222222222223
47,Emo,avoidance,4.142857142857143
47,Emo,approach,3.1666666666666665
47,Emo,development,3.4
47,Emo,total,3.611111111111111
50,Goth,avoidance,4.571428571428571
50,Goth,approach,4.5
50,Goth,development,4.8
50,Goth,total,4.611111111111111
51,Metal,avoidance,3
51,Metal,approach,3.8333333333333335
51,Metal,development,4.8
51,Metal,total,3.7777777777777777
53,Metal,avoidance,4.857142857142857
53,Metal,approach,3.8333333333333335
53,Metal,development,4.8
53,Metal,total,4.5
54,Emo,avoidance,4.857142857142857
54,Emo,approach,4.333333333333333
54,Emo,development,4.4
54,Emo,total,4.555555555555555
55,Emo,avoidance,4.285714285714286
55,Emo,approach,3.3333333333333335
55,Emo,development,3.8
55,Emo,total,3.833333333333333
57,Metal,avoidance,3.4285714285714284
57,Metal,approach,3.8333333333333335
57,Metal,development,3.8
57,Metal,total,3.6666666666666665
58,Metal,avoidance,4.142857142857143
58,Metal,approach,4
58,Metal,development,3.8
58,Metal,total,4
