subj,gender,cards,task,correct
1,female,english,nc,12
1,female,english,np,4
1,female,english,pc,NA
1,female,english,pp,NA
2,male,italian,nc,18
2,male,italian,np,12
2,male,italian,pc,17
2,male,italian,pp,9
3,female,english,nc,18
3,female,english,np,13
3,female,english,pc,17
3,female,english,pp,9
4,male,italian,nc,17
4,male,italian,np,11
4,male,italian,pc,15
4,male,italian,pp,12
5,female,english,nc,17
5,female,english,np,15
5,female,english,pc,15
5,female,english,pp,10
6,male,italian,nc,18
6,male,italian,np,11
6,male,italian,pc,15
6,male,italian,pp,7
7,male,english,nc,17
7,male,english,np,10
7,male,english,pc,13
7,male,english,pp,9
8,female,italian,nc,18
8,female,italian,np,14
8,female,italian,pc,19
8,female,italian,pp,11
9,male,english,nc,20
9,male,english,np,14
9,male,english,pc,16
9,male,english,pp,9
10,male,italian,nc,7
10,male,italian,np,2
10,male,italian,pc,NA
10,male,italian,pp,NA
11,female,english,nc,19
11,female,english,np,12
11,female,english,pc,14
11,female,english,pp,8
12,female,italian,nc,19
12,female,italian,np,14
12,female,italian,pc,16
12,female,italian,pp,6
13,female,english,nc,19
13,female,english,np,10
13,female,english,pc,16
13,female,english,pp,7
14,female,italian,nc,17
14,female,italian,np,11
14,female,italian,pc,17
14,female,italian,pp,5
15,female,english,nc,20
15,female,english,np,16
15,female,english,pc,17
15,female,english,pp,10
16,male,italian,nc,17
16,male,italian,np,13
16,male,italian,pc,13
16,male,italian,pp,5
17,female,english,nc,19
17,female,english,np,13
17,female,english,pc,13
17,female,english,pp,8
18,female,italian,nc,NA
18,female,italian,np,NA
18,female,italian,pc,NA
18,female,italian,pp,NA
19,female,italian,nc,16
19,female,italian,np,11
19,female,italian,pc,18
19,female,italian,pp,10
