subj,age,sex,education,religious,nationality,ro_i,ro_e,happiness,places,others,nature,universe,tei,wellbeing,self_control,emotionality,sociability
1,19,female,"Technical, HNC, FD or equiv",yes,British,1.375,1.33333333333333,2.44444444444444,4.6,2.75,5,2.73684210526316,5.96666666666667,7,6.16666666666667,5.125,5.16666666666667
2,20,female,"Technical, HNC, FD or equiv",yes,British,1,1.16666666666667,1.77777777777778,5,2.58333333333333,4.33333333333333,3.10526315789474,4.3,3.16666666666667,2.83333333333333,5.625,4.66666666666667
3,18,female,GCSE or equiv,no,British,2.5,2.08333333333333,6.22222222222222,6.6,5.41666666666667,6,6.36842105263158,3,2,3.16666666666667,3.25,3.83333333333333
4,21,female,GCSE or equiv,no,British,1.875,2,4,4.2,4.25,3.66666666666667,4.68421052631579,3.5,3.83333333333333,3.5,4,2.5
5,19,female,GCSE or equiv,yes,British,1,1.16666666666667,2.55555555555556,6,4.08333333333333,5,3.68421052631579,2.16666666666667,2.66666666666667,2.5,1.375,2.66666666666667
6,20,female,GCSE or equiv,no,British,1.25,1.5,3.88888888888889,4.8,4.25,5.66666666666667,4.42105263157895,5.06666666666667,5.16666666666667,2.83333333333333,6.125,5.33333333333333
7,20,female,"Technical, HNC, FD or equiv",yes,British,1,1.41666666666667,4.33333333333333,6.2,5.33333333333333,5,3.94736842105263,6.13333333333333,7,5.16666666666667,5.75,6.66666666666667
8,20,female,"Technical, HNC, FD or equiv",no,British,1.625,2.08333333333333,4.22222222222222,4.6,4.16666666666667,4.66666666666667,4.15789473684211,4.46666666666667,5.16666666666667,4.5,4,4.33333333333333
9,20,female,"Technical, HNC, FD or equiv",yes,British,1,1.16666666666667,3.22222222222222,5.6,4.41666666666667,5,4.26315789473684,5.33333333333333,5.83333333333333,5.5,5,5
10,20,female,"Technical, HNC, FD or equiv",yes,British,1,1.33333333333333,3.33333333333333,5.8,3.33333333333333,4.66666666666667,3.57894736842105,5.13333333333333,5,4,6.25,5
11,20,female,"Technical, HNC, FD or equiv",yes,British,1,1.16666666666667,1.66666666666667,6.2,2.83333333333333,4.66666666666667,2.73684210526316,4.86666666666667,6.33333333333333,4.66666666666667,4.5,4
12,19,female,GCSE or equiv,no,British,1.625,2.08333333333333,3.22222222222222,5,4.25,4.66666666666667,3.89473684210526,4.86666666666667,6.66666666666667,4.66666666666667,3.75,4.33333333333333
13,19,female,GCSE or equiv,yes,British,1,1.25,2.22222222222222,5.8,4.83333333333333,6.33333333333333,3.10526315789474,5.33333333333333,6.66666666666667,5.66666666666667,4.5,4.83333333333333
14,19,female,GCSE or equiv,yes,British,1.125,1.5,2.44444444444444,4.6,3.16666666666667,3.33333333333333,3.63157894736842,5,5.83333333333333,5.33333333333333,4.25,5
15,21,female,"Technical, HNC, FD or equiv",yes,British,1,1,2.77777777777778,5.4,4.33333333333333,4.33333333333333,4.78947368421053,4.86666666666667,4.33333333333333,5.33333333333333,5,5
16,22,female,GCSE or equiv,yes,British,1.125,1.16666666666667,4,5.2,4.25,4.33333333333333,4.15789473684211,4.66666666666667,5.66666666666667,4.83333333333333,5.375,3
17,20,female,"Technical, HNC, FD or equiv",no,British,1.75,2.08333333333333,5.88888888888889,6,6,4.33333333333333,5.36842105263158,4.2,4.33333333333333,2.83333333333333,5.375,4.33333333333333
18,26,female,"Technical, HNC, FD or equiv",yes,British,1,1.16666666666667,2,5.2,3.08333333333333,2.66666666666667,2.94736842105263,4.9,5.33333333333333,4,5.125,4.83333333333333
19,20,female,"Technical, HNC, FD or equiv",yes,British,1.125,1.08333333333333,1.11111111111111,4.8,1.75,1,2.94736842105263,4,2.66666666666667,3.83333333333333,4.375,5.5
20,24,male,"Technical, HNC, FD or equiv",yes,British,1.25,1.16666666666667,3,5,2.91666666666667,2.33333333333333,3.52631578947368,6.7,7,7,5.875,7
21,26,male,degree,yes,British,1.25,1.16666666666667,5.55555555555556,6.2,5.25,7,4.94736842105263,3.56666666666667,3.33333333333333,2.83333333333333,3.875,4
22,23,female,"Technical, HNC, FD or equiv",yes,British,1.25,1.16666666666667,2.44444444444444,6.4,3.25,6,4.57894736842105,6.56666666666667,6.33333333333333,7,6.75,6
23,21,female,GCSE or equiv,no,British,1.75,2.41666666666667,4.22222222222222,6.8,4.83333333333333,6.33333333333333,4.8421052631579,5.5,6.16666666666667,3.83333333333333,5.75,5.5
24,38,male,GCSE or equiv,no,British,1.375,1.5,3.66666666666667,5.2,4.41666666666667,6,4.63157894736842,5.56666666666667,6.5,5,5.875,4.5
25,23,female,GCSE or equiv,yes,British,1.28571428571429,1.25,5.33333333333333,5.8,5.66666666666667,5.66666666666667,5.57894736842105,6.6,7,7,5.5,7
26,21,female,GCSE or equiv,no,British,2.25,2.25,5.33333333333333,7,5.91666666666667,6.33333333333333,5.89473684210526,4.4,4,4.33333333333333,5.125,3.66666666666667
27,21,male,GCSE or equiv,yes,British,1.5,1.41666666666667,6,6.8,5.75,7,6.31578947368421,6.23333333333333,7,6,6.125,6
28,22,female,GCSE or equiv,yes,British,1,1.33333333333333,3.66666666666667,6.2,5,5.33333333333333,3.89473684210526,4.86666666666667,5.66666666666667,6.16666666666667,3.5,5.16666666666667
29,21,male,"Technical, HNC, FD or equiv",no,British,1.125,2,2.44444444444444,3.2,2.91666666666667,3,3.36842105263158,6.2,6.33333333333333,6.33333333333333,6.625,6
30,44,male,GCSE or equiv,no,British,1.5,1.58333333333333,4.44444444444444,5,5.66666666666667,4.33333333333333,5.05263157894737,5.46666666666667,5.83333333333333,4.66666666666667,6,4.5
31,22,female,"Technical, HNC, FD or equiv",no,British,1.875,2.33333333333333,4.33333333333333,5.4,3.16666666666667,4,4.73684210526316,3.1,3.66666666666667,3.16666666666667,3.375,3
32,25,male,"Technical, HNC, FD or equiv",no,British,1.625,2.25,3.88888888888889,5.6,4.41666666666667,4.33333333333333,4.47368421052632,3.3,2.5,4.66666666666667,3.75,2.33333333333333
33,25,male,GCSE or equiv,yes,British,1.75,2,5.77777777777778,6,5,6.33333333333333,5.26315789473684,4.53333333333333,4.16666666666667,6.33333333333333,4.125,3.16666666666667
34,19,female,"Technical, HNC, FD or equiv",yes,British,1,1.33333333333333,2.22222222222222,4.2,3.25,4.66666666666667,2.31578947368421,2.8,1.66666666666667,1.66666666666667,4.125,4
35,29,male,"Technical, HNC, FD or equiv",yes,British,2.5,1.83333333333333,5.55555555555556,5.8,5.16666666666667,5.66666666666667,5.52631578947368,5.26666666666667,6,5.66666666666667,5.375,4
36,20,female,"Technical, HNC, FD or equiv",yes,British,1.5,1.5,4.44444444444444,6.2,4.83333333333333,5,4.78947368421053,4.23333333333333,3.5,4.33333333333333,5.25,4.5
37,22,female,"Technical, HNC, FD or equiv",no,British,1.875,2,5.11111111111111,5.2,4.83333333333333,5,4.78947368421053,5.23333333333333,5.33333333333333,6.16666666666667,4.25,6.33333333333333
38,19,female,GCSE or equiv,yes,British,1.125,2,3,4.4,3.41666666666667,4,3.10526315789474,3.9,3.66666666666667,3.83333333333333,4.75,3.5
39,19,female,"Technical, HNC, FD or equiv",no,British,1.125,1.16666666666667,4.33333333333333,5.2,4.41666666666667,4,4.73684210526316,3.66666666666667,5,3.83333333333333,3.25,2.66666666666667
40,21,female,"Technical, HNC, FD or equiv",yes,British,1.375,1.5,5.55555555555556,6.4,5.08333333333333,7,4.78947368421053,3.43333333333333,3.5,2.83333333333333,3.75,3.33333333333333
41,32,female,"Technical, HNC, FD or equiv",yes,British,1.5,1.33333333333333,5.44444444444444,5.8,6.25,6,6.05263157894737,5.16666666666667,5.83333333333333,3.83333333333333,5.125,5.66666666666667
42,37,female,"Technical, HNC, FD or equiv",yes,British,1.125,1.25,4.88888888888889,6.6,6.08333333333333,6.66666666666667,5.21052631578947,5.3,5.5,5.16666666666667,4.75,5.16666666666667
43,34,female,"Technical, HNC, FD or equiv",yes,British,1.125,1.16666666666667,3.22222222222222,3.4,2.91666666666667,3.66666666666667,3.68421052631579,3.93333333333333,3.33333333333333,4.66666666666667,3.75,3.16666666666667
44,37,female,GCSE or equiv,yes,British,1.14285714285714,1.08333333333333,3.55555555555556,5.4,4.25,5,4.42105263157895,4.6,4.33333333333333,4.66666666666667,5.625,4
45,31,female,"Technical, HNC, FD or equiv",yes,British,1.25,1.5,4.55555555555556,6.8,5.08333333333333,5.66666666666667,5.10526315789474,4.53333333333333,6.66666666666667,3.33333333333333,3.75,4.33333333333333
46,73,female,GCSE or equiv,no,British,2,2.16666666666667,4,6.6,4.58333333333333,5.66666666666667,4,4.8,5.16666666666667,5.66666666666667,4.75,4.5
