partID,Age,Gender,Stage,Pre_SSE_1,Pre_SSE_2,Pre_SSE_3,Pre_SSE_4,Pre_SSE_5,Pre_SSE_6,Pre_SSE_7,Pre_SSE_8,Pre_SSE_9,Pre_SSE_10,Pre_SSE_11,Pre_SSE_12,Pre_SSE_13,Pre_SSE_14,Pre_SSE_15,Pre_SSE_16,Pre_SSE_17,Pre_SSE_18,Pre_SSE_19,Pre_SSE_20,Condition,Post_SSE_1,Post_SSE_2,Post_SSE_3,Post_SSE_4,Post_SSE_5,Post_SSE_6,Post_SSE_7,Post_SSE_8,Post_SSE_9,Post_SSE_10,Post_SSE_11,Post_SSE_12,Post_SSE_13,Post_SSE_14,Post_SSE_15,Post_SSE_16,Post_SSE_17,Post_SSE_18,Post_SSE_19,Post_SSE_20
47,20,male,2,3,4,2,2,3,3,0,1,3,0,4,3,2,3,0,2,3,2,1,3,control,3,2,3,2,1,2,0,1,3,0,4,3,2,2,0,1,2,1,1,1
51,22,female,2,2,3,3,2,1,3,0,0,3,2,2,3,3,3,0,0,2,0,2,2,control,3,3,3,3,1,3,1,1,4,1,2,2,2,3,0,0,2,0,2,2
57,20,female,2,3,0,0,0,0,0,4,0,2,0,2,3,0,4,0,0,0,0,0,0,control,3,0,0,0,0,2,4,0,2,0,2,3,0,4,0,0,0,0,0,0
59,19,male,1,2,3,0,2,2,0,1,3,2,2,2,2,3,1,1,3,3,2,1,0,control,2,3,0,1,2,0,3,2,1,3,1,1,3,1,2,4,4,3,3,1
65,18,male,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,control,2,1,2,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2
69,21,female,2,2,1,3,0,1,1,0,2,2,1,2,1,1,1,0,1,0,0,0,0,control,2,1,2,0,1,1,0,1,2,1,2,1,1,2,0,1,1,0,0,0
75,22,male,2,0,3,2,3,1,2,1,4,3,4,0,1,1,3,0,4,2,2,3,2,control,0,4,2,3,1,2,2,3,3,3,0,1,1,3,0,4,2,1,4,3
84,18,male,1,3,2,0,1,1,3,3,4,3,4,2,1,4,3,2,2,2,3,3,1,control,2,2,1,1,2,2,3,3,3,3,1,2,2,3,3,2,2,3,3,2
113,20,female,1,2,4,2,3,0,0,2,3,2,4,2,2,1,2,0,1,1,4,4,3,control,4,0,1,0,0,0,2,0,2,0,2,1,0,3,0,1,1,0,0,2
119,19,female,1,3,0,3,1,1,2,0,0,2,0,3,3,0,3,0,0,0,0,0,0,control,3,1,3,0,0,2,0,0,3,0,3,3,0,3,0,0,0,0,0,0
129,25,female,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,control,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,20,female,1,2,2,0,0,1,1,3,2,1,1,1,1,2,2,1,3,2,1,1,2,control,2,1,0,0,1,1,3,2,2,1,1,1,2,1,1,3,2,1,2,2
157,20,female,2,3,2,3,1,1,2,2,1,2,0,3,2,1,2,0,1,1,0,2,1,control,2,1,3,0,1,2,1,0,2,1,2,2,1,2,0,1,1,1,1,1
158,18,female,1,3,0,3,0,0,1,0,1,2,0,3,3,1,2,0,1,0,1,0,1,control,3,0,3,0,1,2,0,0,2,0,3,3,1,2,0,0,1,1,0,0
168,21,female,1,3,0,3,1,0,2,0,0,3,0,3,3,1,3,0,0,0,0,0,0,control,3,0,3,1,0,1,0,0,3,0,3,3,1,3,0,0,1,0,0,0
178,19,male,1,3,0,2,1,2,1,2,2,3,2,3,2,3,3,1,2,3,3,3,2,control,2,0,1,1,3,1,3,3,1,2,2,1,2,1,2,2,3,3,3,3
191,20,female,2,1,2,0,1,1,1,3,2,1,1,1,0,4,2,3,3,3,3,2,4,control,1,1,1,2,2,1,3,2,1,2,1,0,3,2,2,3,3,2,1,4
194,21,female,2,2,1,2,2,3,2,1,1,2,2,2,2,1,1,1,1,0,1,1,0,control,2,0,2,2,3,2,1,1,2,1,2,2,1,1,1,0,0,1,1,0
221,19,female,1,3,0,1,0,0,1,3,3,2,1,2,2,3,3,0,1,0,0,0,1,control,3,0,2,0,0,0,3,0,1,1,2,1,0,3,0,0,0,0,0,0
231,19,female,1,3,3,2,0,0,2,0,0,4,0,3,3,3,4,0,2,3,0,0,2,control,3,3,3,0,0,2,0,1,3,0,3,3,3,4,0,1,3,0,0,3
234,18,male,1,3,2,2,2,1,2,1,3,3,1,2,2,1,3,1,0,2,0,1,1,control,3,1,2,0,0,2,1,1,3,0,2,1,1,3,0,0,1,0,3,1
237,19,male,1,2,3,0,3,2,2,4,4,2,4,1,0,4,2,3,4,4,3,4,4,control,2,1,4,3,1,2,4,4,2,4,1,0,4,3,3,4,4,3,3,4
242,29,female,1,3,0,3,0,0,2,1,1,3,0,3,3,0,4,0,0,1,0,0,0,control,3,0,3,0,0,2,1,1,3,0,3,3,0,4,0,0,1,0,0,0
243,18,female,1,2,2,2,1,0,0,3,3,1,2,2,1,4,4,4,4,3,2,1,3,control,2,2,2,2,0,1,2,2,1,1,1,1,3,4,2,3,3,1,1,2
250,35,female,0,3,1,2,1,0,2,1,1,3,0,3,2,1,4,0,1,1,0,0,1,control,3,1,2,1,0,2,1,1,3,0,3,2,1,4,0,1,1,0,0,1
252,23,female,2,1,1,0,0,2,2,4,3,0,2,2,1,1,2,3,3,2,1,2,1,control,0,3,0,2,3,0,4,4,0,4,0,0,4,2,2,4,0,2,0,3
255,45,female,0,3,0,2,0,0,2,0,0,2,0,4,2,0,3,0,1,0,0,0,0,control,3,1,2,0,0,2,0,0,2,0,3,2,1,3,0,1,2,1,0,0
257,19,female,1,2,0,1,0,0,1,1,1,2,1,2,2,0,2,0,1,0,0,0,0,control,2,0,2,0,0,2,1,2,2,1,2,2,0,2,0,1,0,0,0,0
258,55,male,0,4,2,2,3,0,2,1,2,4,0,2,2,1,4,0,2,1,0,2,0,control,3,2,2,0,0,1,1,1,4,1,3,2,2,4,0,1,0,0,1,0
259,22,female,0,1,3,2,1,2,1,0,0,1,1,2,2,0,3,0,0,1,1,1,1,control,1,3,2,3,2,1,0,0,2,1,3,3,0,2,0,0,0,2,1,0
260,22,female,4,4,2,4,0,0,3,0,0,4,0,4,4,0,4,0,0,1,0,0,0,control,4,2,4,0,0,3,0,0,4,0,3,4,0,3,0,0,2,0,0,0
261,63,female,0,3,2,4,0,0,3,0,1,4,0,4,4,0,3,0,0,1,0,1,0,control,3,1,4,0,0,3,0,0,4,0,3,4,1,3,0,0,0,0,0,0
262,38,female,0,2,2,1,1,1,1,2,1,2,1,2,1,0,2,0,1,1,1,1,0,control,2,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,1
