year,software,scholar,scholar2022,scholar2023
2000,SPSS,71200,76,79.6
2001,SPSS,102000,108,109
2002,SPSS,142000,158,153
2003,SPSS,208000,217,221
2004,SPSS,272000,285,259
2005,SPSS,347000,372,345
2006,SPSS,402000,415,418
2007,SPSS,438000,475,435
2008,SPSS,393000,500,514
2009,SPSS,495000,544,550
2010,SPSS,529000,569,580
2011,SPSS,511000,554,536
2012,SPSS,512000,541,596
2013,SPSS,497000,563,594
2014,SPSS,439000,523,554
2015,SPSS,390000,462,522
2016,SPSS,356000,416,496
2017,SPSS,294000,383,423
2018,SPSS,236000,319,390
2019,SPSS,177000,258,316
2020,SPSS,115000,199,271
2021,SPSS,NA,119,201
2022,SPSS,NA,NA,130
2000,R,1450,1.3,1.32
2001,R,1630,1.65,1.52
2002,R,2020,1.87,1.87
2003,R,2570,2.39,2.4
2004,R,3700,3.56,3.66
2005,R,5940,5.9,5.85
2006,R,8330,8.3,8.23
2007,R,11800,11.8,11.6
2008,R,15200,15.2,14.9
2009,R,18500,18.5,18.5
2010,R,21600,21.9,21.6
2011,R,22400,24.7,24.3
2012,R,27800,28.2,27.7
2013,R,29600,29.6,29.3
2014,R,32500,31.6,32.5
2015,R,37300,36,37.1
2016,R,47500,47.9,49.5
2017,R,68700,71.7,74.4
2018,R,77700,89.4,95
2019,R,81800,99.8,109
2020,R,70200,92.6,118
2021,R,NA,76.9,108
2022,R,NA,NA,73.1
2000,Python,NA,0.279,NA
2001,Python,NA,0.3,NA
2002,Python,NA,0.522,NA
2003,Python,NA,0.661,NA
2004,Python,NA,0.896,NA
2005,Python,NA,1.22,NA
2006,Python,NA,1.61,NA
2007,Python,NA,1.94,NA
2008,Python,NA,2.5,NA
2009,Python,NA,3.2,NA
2010,Python,NA,4.4,NA
2011,Python,NA,5.3,NA
2012,Python,NA,7.1,NA
2013,Python,NA,9.6,NA
2014,Python,NA,13,NA
2015,Python,NA,15.6,NA
2016,Python,NA,16.8,NA
2017,Python,NA,17.5,NA
2018,Python,NA,18.7,NA
2019,Python,NA,20.3,NA
2020,Python,NA,22.3,NA
2021,Python,NA,26.2,NA
2022,Python ,NA,NA,29.9
