Solution,Rater,Cond,score
104017,104046,Urban,7
104017,104015,Urban,6
104017,104012,Urban,8
104017,104103,Urban,3
104017,104071,Urban,4
104017,104119,Urban,7
104017,104007,Urban,7
104017,104023,Urban,3
104017,104037,Urban,4
104017,104051,Urban,4
104034,104022,Urban,4
104034,104003,Urban,5
104034,104021,Urban,8
104034,104060,Urban,4
104034,104014,Urban,7
104034,104048,Urban,6
104034,104018,Urban,4
104034,104084,Urban,8
104034,104064,Urban,1
104034,104009,Urban,7
104090,104036,Urban,6
104090,104055,Urban,5
104090,104066,Urban,3
104090,104027,Urban,5
104090,104098,Urban,4
104090,104056,Urban,2
104090,104081,Urban,5
104090,104091,Urban,5
104090,104059,Urban,6
104090,104004,Urban,1
104057,104061,Urban,6
104057,104030,Urban,6
104057,104025,Urban,5
104057,104070,Urban,5
104057,104035,Urban,6
104057,104033,Urban,8
104057,104109,Urban,6
104057,104053,Urban,8
104057,104095,Urban,8
104057,104016,Urban,7
104024,104010,Urban,6
104024,104107,Urban,6
104024,104047,Urban,3
104024,104044,Urban,4
104024,104117,Urban,3
104024,104031,Urban,6
104024,104029,Urban,1
104024,104088,Urban,4
104024,104073,Urban,8
104024,104045,Urban,5
104016,104101,Urban,4
104016,104069,Urban,3
104016,104113,Urban,7
104016,104006,Urban,4
104016,104096,Urban,6
104016,104008,Urban,4
104016,104104,Urban,7
104016,104105,Urban,8
104016,104005,Urban,3
104016,104068,Urban,5
104029,104099,Urban,6
104029,104043,Urban,6
104029,104017,Urban,8
104029,104075,Urban,3
104029,104090,Urban,2
104029,104063,Urban,10
104029,104102,Urban,4
104029,104082,Urban,4
104029,104110,Urban,7
104029,104077,Urban,3
104005,104002,Urban,8
104005,104057,Urban,1
104005,104080,Urban,7
104005,104026,Urban,6
104005,104116,Urban,7
104005,104052,Urban,6
104005,104076,Urban,2
104005,104086,Urban,2
104005,104067,Urban,5
104005,104034,Urban,5
104114,104085,Urban,5
104114,104019,Urban,6
104114,104097,Urban,1
104114,104115,Urban,4
104114,104092,Urban,10
104114,104118,Urban,6
104114,104032,Urban,5
104114,104042,Urban,7
104114,104039,Urban,5
104114,104050,Urban,4
104019,104074,Urban,4
104019,104020,Urban,5
104019,104112,Urban,4
104019,104072,Urban,6
104019,104087,Urban,4
104019,104093,Urban,6
104019,104024,Urban,3
104019,104120,Urban,4
104019,104038,Urban,7
104019,104041,Urban,3
104115,104065,Urban,6
104115,104049,Urban,5
104115,104100,Urban,4
104115,104114,Urban,5
104115,104028,Urban,6
104115,104001,Urban,4
104115,104013,Urban,10
104115,104058,Urban,6
104115,104106,Urban,6
104115,104011,Urban,3
104053,104078,Urban,7
104053,104062,Urban,5
104053,104040,Urban,9
104053,104054,Urban,5
104053,104111,Urban,6
