"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","category","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","count_about_this_example","count_block_loop","count_block_sequence","count_counterbalance","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_fixation","count_goodbye","count_green_fix","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_red_fix","count_reset_feedback","count_trial_sequence","count_word","datetime","description","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","nonword_response","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_practice","response_feedback","response_goodbye","response_instructions","response_keyboard_response","response_time","response_time_end_of_practice","response_time_feedback","response_time_goodbye","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","time_about_this_example","time_block_loop","time_block_sequence","time_counterbalance","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_fixation","time_goodbye","time_green_fix","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_red_fix","time_reset_feedback","time_trial_sequence","time_word","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_response"
"0","0","2116","2116","gray","no","legacy","nonword","legacy","legacy","0","relative","0","undefined","0","[nonword_response]","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","Thu 31 Oct 2019 16:56:45 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","0","0","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","z","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","NA","space","m","2116","NA","NA","NA","1329","2116","2","legacy","1024","2","48000","-16","experiment","12","even","legacy","mocag","NA","2077","2077","742","NA","741","NA","NA","2114","NA","NA","745","2615","5232","2074","4732","NA","2113","2615","Lexical decision","0","2116","1","no","1024","m"
"50","50","2560.5","2560.5","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","0","0","0","0","0","0","NA","1","0","1","0","1","1","0","1","0","1","1","Thu 31 Oct 2019 16:56:45 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","1","1","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","z","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","NA","space","m","3005","NA","NA","NA","1329","3005","2","legacy","1024","2","48000","-16","experiment","12","even","legacy","apple","NA","2077","2077","742","NA","741","NA","NA","5359","NA","8871","745","5860","9371","2074","4732","NA","5349","5860","Lexical decision","1","5121","2","no","1024","m"
"66.6666666667","66.6666666667","2267.33333333","2267.33333333","gray","no","legacy","nonword","legacy","legacy","0","relative","1","undefined","1","[nonword_response]","0","0","0","0","0","0","0","NA","2","0","2","0","2","2","0","2","0","2","2","Thu 31 Oct 2019 16:56:45 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","2","2","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","z","Kafkaesque Koffka","3.2.7","yes","0","z","NA","NA","NA","space","z","1681","NA","NA","NA","1329","1681","2","legacy","1024","2","48000","-16","experiment","12","even","legacy","ourtel","NA","2077","2077","742","NA","741","NA","NA","9436","NA","11620","745","9937","12120","2074","4732","NA","9434","9937","Lexical decision","2","6802","3","no","1024","m"
"50","50","2418","2418","gray","no","legacy","word","legacy","legacy","0","relative","0","undefined","0","[word_response]","0","0","0","0","0","0","0","NA","3","0","3","0","3","3","0","3","0","3","3","Thu 31 Oct 2019 16:56:45 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","3","3","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","z","Kafkaesque Koffka","3.2.7","yes","0","z","NA","NA","NA","space","z","2870","NA","NA","NA","1329","2870","2","legacy","1024","2","48000","-16","experiment","12","even","legacy","turtle","NA","2077","2077","742","NA","741","NA","NA","12190","NA","11620","745","12692","16064","2074","15564","NA","12189","12692","Lexical decision","2","9672","4","no","1024","m"
"40","40","2529.2","2529.2","gray","no","legacy","nonword","legacy","legacy","0","relative","0","undefined","0","[nonword_response]","0","0","0","0","0","0","0","NA","4","0","4","0","4","4","0","4","0","4","4","Thu 31 Oct 2019 16:56:45 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","4","4","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","z","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","NA","space","m","2974","NA","NA","NA","1329","2974","2","legacy","1024","2","48000","-16","experiment","12","even","legacy","ipple","NA","2077","2077","742","NA","741","NA","NA","16127","NA","11620","745","16628","20104","2074","19604","NA","16126","16628","Lexical decision","2","12646","5","no","1024","m"
"50","50","2383.83333333","2383.83333333","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","0","0","0","0","0","0","NA","5","0","5","0","5","5","0","5","0","5","5","Thu 31 Oct 2019 16:56:45 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","5","5","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","z","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","NA","space","m","1657","NA","NA","NA","1329","1657","2","legacy","1024","2","48000","-16","experiment","12","even","legacy","magic","NA","2077","2077","742","NA","741","NA","NA","20187","NA","22348","745","20688","22848","2074","19604","NA","20185","20688","Lexical decision","3","14303","6","no","1024","m"
"100","100","934","934","gray","no","legacy","nonword","legacy","legacy","0","relative","1","undefined","1","[nonword_response]","0","1","1","0","0","0","0","0","6","0","6","0","6","6","0","6","1","6","6","Thu 31 Oct 2019 16:56:45 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","0","0","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","z","Kafkaesque Koffka","3.2.7","no","0","z","space","space","NA","space","z","934","837","1424","NA","1329","934","2","legacy","1024","2","48000","-16","experiment","12","even","legacy","ipple","NA","25233","25233","742","24388","741","25225","22921","25255","NA","26699","745","25756","27199","2074","19604","NA","25253","25756","Lexical decision","1","934","1","no","1024","m"
"100","100","905.5","905.5","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","1","1","0","0","0","0","0","7","0","7","0","7","7","0","7","1","7","7","Thu 31 Oct 2019 16:56:45 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","1","1","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","z","Kafkaesque Koffka","3.2.7","no","0","m","space","space","NA","space","m","877","837","1424","NA","1329","877","2","legacy","1024","2","48000","-16","experiment","12","even","legacy","magic","NA","25233","25233","742","24388","741","25225","22921","27264","NA","28643","745","27765","29144","2074","19604","NA","27262","27765","Lexical decision","2","1811","2","no","1024","m"
"100","100","1642.33333333","1642.33333333","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","1","1","0","0","0","0","0","8","0","8","0","8","8","0","8","1","8","8","Thu 31 Oct 2019 16:56:45 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","2","2","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","z","Kafkaesque Koffka","3.2.7","no","0","m","space","space","NA","space","m","3116","837","1424","NA","1329","3116","2","legacy","1024","2","48000","-16","experiment","12","even","legacy","apple","NA","25233","25233","742","24388","741","25225","22921","29210","NA","32835","745","29711","33335","2074","19604","NA","29208","29711","Lexical decision","3","4927","3","no","1024","m"
"100","100","1597","1597","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","1","1","0","0","0","0","0","9","0","9","0","9","9","0","9","1","9","9","Thu 31 Oct 2019 16:56:45 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","3","3","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","z","Kafkaesque Koffka","3.2.7","no","0","m","space","space","NA","space","m","1461","837","1424","NA","1329","1461","2","legacy","1024","2","48000","-16","experiment","12","even","legacy","turtle","NA","25233","25233","742","24388","741","25225","22921","33399","NA","35363","745","33900","35863","2074","19604","NA","33398","33900","Lexical decision","4","6388","4","no","1024","m"
