subj,cond,phit
1,other,0.86
1,silent,0.68
2,other,0.71
2,silent,0.95
3,other,0.69
3,silent,0.75
4,other,0.68
4,silent,0.69
5,other,0.68
5,silent,0.58
6,other,0.51
6,silent,0.45
7,other,0.3
7,silent,0.85
8,other,0.77
8,silent,0.88
9,other,0.89
9,silent,0.66
10,other,0.53
10,silent,0.61
11,other,0.39
11,silent,0.58
12,other,0.87
12,silent,0.81
13,other,0.75
13,silent,0.49
14,other,0.77
14,silent,1
15,other,0.68
15,silent,0.42
16,other,0.59
16,silent,0.62
17,other,0.52
17,silent,0.55
18,other,0.43
18,silent,0.87
19,other,0.6
19,silent,0.6
20,other,0.89
20,silent,0.5
21,other,0.72
21,silent,0.92
22,other,0.79
22,silent,0.69
23,other,0.58
23,silent,0.73
24,other,0.68
24,silent,0.89
25,other,0.73
25,silent,0.66
26,other,0.82
26,silent,0.78
27,other,0.42
27,silent,0.9
28,other,0.88
28,silent,0.62
29,other,0.51
29,silent,0.65
30,other,0.66
30,silent,0.57
31,other,0.79
31,silent,0.68
32,other,0.58
32,silent,0.82
33,other,0.69
33,silent,0.56
34,other,0.66
34,silent,0.63
35,other,0.72
35,silent,0.42
36,other,0.55
36,silent,0.42
37,other,0.19
37,silent,0.81
38,other,0.7
38,silent,0.87
39,other,0.77
39,silent,0.59
40,other,0.53
40,silent,0.56
41,other,0.26
41,silent,0.42
42,other,0.81
42,silent,0.7
43,other,0.45
43,silent,0.36
44,other,0.72
44,silent,0.86
45,other,0.48
45,silent,0.29
46,other,0.63
46,silent,0.62
47,other,0.36
47,silent,0.43
48,other,0.28
48,silent,0.85
49,other,0.45
49,silent,0.43
50,other,0.78
50,silent,0.37
51,other,0.7
51,silent,0.61
52,other,0.61
52,silent,0.48
53,other,0.7
53,silent,0.71
54,other,0.58
54,silent,0.76
55,other,0.52
55,silent,0.67
56,other,0.59
56,silent,0.75
57,other,0.11
57,silent,0.81
58,other,0.92
58,silent,0.38
59,other,0.43
59,silent,0.43
60,other,0.46
60,silent,0.45
