"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_facetest_response","correct_instructions","correct_sexrating_response","count_blank100","count_exemplarsequence","count_experiment","count_exposure","count_exposuresequence","count_faceexpose","count_facetest","count_facetest_response","count_instructions","count_logger","count_notes","count_sexrating","count_sexrating_response","count_test","count_testinstructions","datetime","description","disable_garbage_collection","experiment_file","experiment_path","faceno","fname","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_exposure","logfile","mouse_backend","opensesame_codename","opensesame_version","phase","repeat_cycle","response","response_facetest_response","response_instructions","response_sexrating_response","response_testinstructions","response_time","response_time_facetest_response","response_time_instructions","response_time_sexrating_response","response_time_testinstructions","round_decimals","sampler_backend","shifttype","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_blank100","time_exemplarsequence","time_experiment","time_exposure","time_exposuresequence","time_faceexpose","time_facetest","time_facetest_response","time_instructions","time_logger","time_notes","time_sexrating","time_sexrating_response","time_test","time_testinstructions","title","total_correct","total_response_time","total_responses","transparent_variables","type","uniform_coordinates","width","xshift","yshift"
"undefined","undefined","864","864","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","0","NA","0","0","0","0","NA","NA","0","0","0","0","0","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","6","0680.png","no","mono","no","18","no","black","no","no","1080","legacy","0","0","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","864","NA","801","864","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","1499","NA","636","1442","1496","1614","NA","NA","641","3498","NA","2632","2634","NA","NA","Feature Shift Prototypes","0","864","1","no","NA","no","1920","8","0"
"undefined","undefined","749.5","749.5","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","1","NA","0","0","1","1","NA","NA","0","1","0","1","1","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","1","010-8.png","no","mono","no","18","no","black","no","no","1080","legacy","1","1","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","635","NA","801","635","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","3620","NA","636","1442","3617","3723","NA","NA","641","5362","NA","4725","4726","NA","NA","Feature Shift Prototypes","0","1499","2","no","NA","no","1920","0","-8"
"undefined","undefined","720","720","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","2","NA","0","0","2","2","NA","NA","0","2","0","2","2","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","3","0308.png","no","mono","no","18","no","black","no","no","1080","legacy","2","2","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","5","NA","space","5","NA","661","NA","801","661","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","5443","NA","636","1442","5440","5545","NA","NA","641","7210","NA","6548","6549","NA","NA","Feature Shift Prototypes","0","2160","3","no","NA","no","1920","0","8"
"undefined","undefined","767.5","767.5","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","3","NA","0","0","3","3","NA","NA","0","3","0","3","3","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","4","04-80.png","no","mono","no","18","no","black","no","no","1080","legacy","3","3","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","910","NA","801","910","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","7299","NA","636","1442","7296","7401","NA","NA","641","9314","NA","8403","8403","NA","NA","Feature Shift Prototypes","0","3070","4","no","NA","no","1920","-8","0"
"undefined","undefined","784","784","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","4","NA","0","0","4","4","NA","NA","0","4","0","4","4","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","8","0880.png","no","mono","no","18","no","black","no","no","1080","legacy","4","4","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","850","NA","801","850","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","9399","NA","636","1442","9396","9501","NA","NA","641","11354","NA","10503","10503","NA","NA","Feature Shift Prototypes","0","3920","5","no","NA","no","1920","8","0"
"undefined","undefined","804.5","804.5","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","5","NA","0","0","5","5","NA","NA","0","5","0","5","5","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","6","06-80.png","no","mono","no","18","no","black","no","no","1080","legacy","5","5","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","5","NA","space","5","NA","907","NA","801","907","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","11446","NA","636","1442","11443","11548","NA","NA","641","13458","NA","12550","12550","NA","NA","Feature Shift Prototypes","0","4827","6","no","NA","no","1920","-8","0"
"undefined","undefined","805.857142857","805.857142857","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","6","NA","0","0","6","6","NA","NA","0","6","0","6","6","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","4","04-80.png","no","mono","no","18","no","black","no","no","1080","legacy","6","6","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","814","NA","801","814","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","13545","NA","636","1442","13542","13647","NA","NA","641","15466","NA","14650","14651","NA","NA","Feature Shift Prototypes","0","5641","7","no","NA","no","1920","-8","0"
"undefined","undefined","805.375","805.375","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","7","NA","0","0","7","7","NA","NA","0","7","0","7","7","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","4","0480.png","no","mono","no","18","no","black","no","no","1080","legacy","7","7","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","802","NA","801","802","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","15582","NA","636","1442","15579","15684","NA","NA","641","17490","NA","16687","16687","NA","NA","Feature Shift Prototypes","0","6443","8","no","NA","no","1920","8","0"
"undefined","undefined","804.888888889","804.888888889","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","8","NA","0","0","8","8","NA","NA","0","8","0","8","8","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","2","0280.png","no","mono","no","18","no","black","no","no","1080","legacy","8","8","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","3","NA","space","3","NA","801","NA","801","801","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","17608","NA","636","1442","17605","17710","NA","NA","641","19514","NA","18712","18712","NA","NA","Feature Shift Prototypes","0","7244","9","no","NA","no","1920","8","0"
"undefined","undefined","813.3","813.3","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","9","NA","0","0","9","9","NA","NA","0","9","0","9","9","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","5","0508.png","no","mono","no","18","no","black","no","no","1080","legacy","9","9","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","5","NA","space","5","NA","889","NA","801","889","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","19631","NA","636","1442","19628","19734","NA","NA","641","21626","NA","20736","20736","NA","NA","Feature Shift Prototypes","0","8133","10","no","NA","no","1920","0","8"
"undefined","undefined","822.454545455","822.454545455","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","10","NA","0","0","10","10","NA","NA","0","10","0","10","10","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","7","070-8.png","no","mono","no","18","no","black","no","no","1080","legacy","10","10","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","914","NA","801","914","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","21718","NA","636","1442","21715","21821","NA","NA","641","23738","NA","22824","22824","NA","NA","Feature Shift Prototypes","0","9047","11","no","NA","no","1920","0","-8"
"undefined","undefined","827.833333333","827.833333333","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","11","NA","0","0","11","11","NA","NA","0","11","0","11","11","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","6","0680.png","no","mono","no","18","no","black","no","no","1080","legacy","11","11","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","5","NA","space","5","NA","887","NA","801","887","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","23843","NA","636","1442","23840","23945","NA","NA","641","25834","NA","24947","24947","NA","NA","Feature Shift Prototypes","0","9934","12","no","NA","no","1920","8","0"
"undefined","undefined","828.923076923","828.923076923","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","12","NA","0","0","12","12","NA","NA","0","12","0","12","12","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","1","0108.png","no","mono","no","18","no","black","no","no","1080","legacy","12","12","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","842","NA","801","842","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","25919","NA","636","1442","25916","26021","NA","NA","641","27866","NA","27023","27024","NA","NA","Feature Shift Prototypes","0","10776","13","no","NA","no","1920","0","8"
"undefined","undefined","829.928571429","829.928571429","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","13","NA","0","0","13","13","NA","NA","0","13","0","13","13","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","8","08-80.png","no","mono","no","18","no","black","no","no","1080","legacy","13","13","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","843","NA","801","843","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","27966","NA","636","1442","27963","28068","NA","NA","641","29914","NA","29070","29071","NA","NA","Feature Shift Prototypes","0","11619","14","no","NA","no","1920","-8","0"
"undefined","undefined","847.133333333","847.133333333","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","14","NA","0","0","14","14","NA","NA","0","14","0","14","14","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","8","08-80.png","no","mono","no","18","no","black","no","no","1080","legacy","14","14","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","5","NA","space","5","NA","1088","NA","801","1088","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","30002","NA","636","1442","30000","30104","NA","NA","641","32196","NA","31106","31107","NA","NA","Feature Shift Prototypes","0","12707","15","no","NA","no","1920","-8","0"
"undefined","undefined","794.5","794.5","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","15","NA","0","0","15","15","NA","NA","0","15","0","15","15","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","2","02-80.png","no","mono","no","18","no","black","no","no","1080","legacy","15","15","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","5","NA","space","5","NA","5","NA","801","5","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","32277","NA","636","1442","32275","32379","NA","NA","641","33387","NA","33381","33381","NA","NA","Feature Shift Prototypes","0","12712","16","no","NA","no","1920","-8","0"
"undefined","undefined","801.882352941","801.882352941","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","16","NA","0","0","16","16","NA","NA","0","16","0","16","16","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","6","06-80.png","no","mono","no","18","no","black","no","no","1080","legacy","16","16","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","920","NA","801","920","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","33481","NA","636","1442","33478","33583","NA","NA","641","35505","NA","34585","34585","NA","NA","Feature Shift Prototypes","0","13632","17","no","NA","no","1920","-8","0"
"undefined","undefined","803.333333333","803.333333333","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","17","NA","0","0","17","17","NA","NA","0","17","0","17","17","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","7","0708.png","no","mono","no","18","no","black","no","no","1080","legacy","17","17","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","828","NA","801","828","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","35587","NA","636","1442","35584","35689","NA","NA","641","37521","NA","36692","36693","NA","NA","Feature Shift Prototypes","0","14460","18","no","NA","no","1920","0","8"
"undefined","undefined","803","803","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","18","NA","0","0","18","18","NA","NA","0","18","0","18","18","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","2","02-80.png","no","mono","no","18","no","black","no","no","1080","legacy","18","18","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","797","NA","801","797","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","37603","NA","636","1442","37600","37705","NA","NA","641","39505","NA","38707","38708","NA","NA","Feature Shift Prototypes","0","15257","19","no","NA","no","1920","-8","0"
"undefined","undefined","802.25","802.25","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","19","NA","0","0","19","19","NA","NA","0","19","0","19","19","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","3","030-8.png","no","mono","no","18","no","black","no","no","1080","legacy","19","19","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","788","NA","801","788","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","39604","NA","636","1442","39601","39706","NA","NA","641","41497","NA","40708","40709","NA","NA","Feature Shift Prototypes","0","16045","20","no","NA","no","1920","0","-8"
"undefined","undefined","799.761904762","799.761904762","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","20","NA","0","0","20","20","NA","NA","0","20","0","20","20","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","2","0280.png","no","mono","no","18","no","black","no","no","1080","legacy","20","20","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","750","NA","801","750","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","41603","NA","636","1442","41600","41705","NA","NA","641","43457","NA","42707","42707","NA","NA","Feature Shift Prototypes","0","16795","21","no","NA","no","1920","8","0"
"undefined","undefined","806.227272727","806.227272727","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","21","NA","0","0","21","21","NA","NA","0","21","0","21","21","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","4","0480.png","no","mono","no","18","no","black","no","no","1080","legacy","21","21","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","942","NA","801","942","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","43538","NA","636","1442","43535","43640","NA","NA","641","45585","NA","44642","44643","NA","NA","Feature Shift Prototypes","0","17737","22","no","NA","no","1920","8","0"
