SRN,who,group,qu,rating
1003728,other,social,1,3
1003728,other,recreation,2,2
1003728,other,financial,3,4
1003728,other,health,5,3
1003728,other,ethical,6,7
1003728,other,social,7,3
1003728,other,financial,8,4
1003728,other,ethical,9,6
1003728,other,ethical,10,5
1003728,other,recreation,11,1
1003728,other,financial,12,3
1003728,other,recreation,13,4
1003728,other,financial,14,1
1003728,other,health,17,7
1003728,other,financial,18,5
1003728,other,recreation,19,4
1003728,other,health,20,3
1003728,other,social,21,1
1003728,other,social,22,1
1003728,other,health,23,3
1003728,other,recreation,24,4
1003728,other,recreation,25,3
1003728,other,health,26,7
1003728,other,social,27,1
1003728,other,social,28,3
1003728,other,ethical,30,4
